"Record Number","Record Type","License Name","Address","Expiration Date","Status","Notes","Disciplinary Action",
"AU-G-C-001704","Class C Marihuana Grower - License","Hi Cannabis","40739 Irwin DR, Harrison Twp MI 48045","09/04/2026","Active",,,
"AU-G-C-001711","Class C Marihuana Grower - License","Efflorescence LLC","4306 Sheridan RD, Vassar MI 48768","08/29/2026","Active",,,
"AU-G-C-001708","Class C Marihuana Grower - License","448 Farms, LLC","14021 E 10 Mile RD Suite A, Warren MI 48089","08/29/2026","Active",,,
"AU-G-C-001705","Class C Marihuana Grower - License","Cherry Industries, LLC","6387 E Nevada ST, Detroit MI 48234","07/27/2026","Active",,,
"AU-G-C-001710","Class C Marihuana Grower - License","JJ HOLDING GROUP LLC","27040 GLOEDE DR, WARREN MI 48088","08/28/2026","Active",,,
"AU-G-C-001707","Class C Marihuana Grower - License","448 Farms, LLC","14021 E 10 Mile RD Suite A, Warren MI 48089","08/28/2026","Active",,,
"AU-G-C-001706","Class C Marihuana Grower - License","Team 517 LLC","819 E Kalamazoo ST Suite B, Lansing MI 48912","11/22/2026","Active",,,
"AU-G-C-001691","Class C Marihuana Grower - License","Pillar Cana, LLC","17507 Van Dyke, Detroit MI 48234","08/27/2026","Active",,,
"AU-G-C-001701","Class C Marihuana Grower - License","The Good Mitten LLC","37555 PETERS DR, Paw Paw MI 49079","08/20/2026","Active",,,
"AU-G-C-001700","Class C Marihuana Grower - License","Schaefer Cannabis","14290 SCHAEFER HWY Suite 3, DETROIT MI 48227","08/19/2026","Active",,,
"AU-G-C-001692","Class C Marihuana Grower - License","Apex Regional Farms, LLC","10675 E US 10, Chase MI 49623","04/18/2026","Active",,,
"AU-G-C-001695","Class C Marihuana Grower - License","NewBuff Labs, LLC","7079 Third ST, Eau Claire MI 49111","08/06/2026","Active",,,
"AU-G-C-001697","Class C Marihuana Grower - License","Lake Life Farms","10350 Harvest Park Suite B, Dimondale MI 48821","12/21/2026","Active",,,
"AU-G-C-001694","Class C Marihuana Grower - License","NewBuff Labs, LLC","7079 Third ST, Eau Claire MI 49111","08/06/2026","Active",,,
"AU-G-C-001702","Class C Marihuana Grower - License","Wildfire Investments 2, LLC","1110 Tower ST, Flint MI 48503","07/29/2026","Active",,,
"AU-G-C-001675","Class C Marihuana Grower - License","SFF LLC","9234 E 72nd ST, Reed City MI 49677","07/25/2026","Active",,,
"AU-G-C-001685","Class C Marihuana Grower - License","Royal Flower LLC","2474 Ryno RD, Luzerne MI 48636","07/25/2026","Active",,,
"AU-G-C-001696","Class C Marihuana Grower - License","Card Group LLC","3236 Patterson RD, Bay City MI 48706","07/23/2026","Active",,,
"AU-G-C-001684","Class C Marihuana Grower - License","Green Gourmet Inc","2105 N Burdick ST, Kalamazoo MI 49007","07/17/2026","Active",,,
"AU-G-C-001689","Class C Marihuana Grower - License","Northwoods Harvest, LLC","5635 Archer RD, Brethren MI 49619","07/22/2026","Active",,,
"AU-G-C-001690","Class C Marihuana Grower - License","Northwoods Harvest, LLC","5635 Archer RD, Brethren MI 49619","07/22/2026","Active",,,
"AU-G-C-001652","Class C Marihuana Grower - License","Frost Bite Management, Inc.","1370 Industrial PKWY, Crystal Falls MI 49920","05/27/2026","Active",,,
"AU-G-C-001670","Class C Marihuana Grower - License","HLS Partners LLC","490 E Dresden ST, Kalkaska MI 49646","07/01/2026","Active",,,
"AU-G-C-001681","Class C Marihuana Grower - License","Berry Green Farms, LLC","16389 Black ST, Vandalia MI 49095","06/27/2026","Active",,,
"AU-G-C-001673","Class C Marihuana Grower - License","Grow Arlington","52981 28th AVE, Bangor MI 49013","06/07/2026","Active",,,
"AU-G-C-001672","Class C Marihuana Grower - License","Grow Arlington","52981 28th AVE, Bangor MI 49013","06/07/2026","Active",,,
"AU-G-C-001674","Class C Marihuana Grower - License","Grow Arlington","52981 28th AVE, Bangor MI 49013","06/07/2026","Active",,,
"AU-G-C-001671","Class C Marihuana Grower - License","Grow Arlington","52981 28th AVE, Bangor MI 49013","06/07/2026","Active",,,
"AU-G-C-001680","Class C Marihuana Grower - License","Huron Garden, Farmer Maxx Cannabis","420 S 2nd ST, Harrisville MI 48740","06/20/2026","Active",,,
"AU-G-C-001641","Class C Marihuana Grower - License","Tend.Harvest.Cultivate.","1213 Phillips AVE SW, GRAND RAPIDS MI 49507","04/20/2026","Active",,,
"AU-G-C-001640","Class C Marihuana Grower - License","Tend.Harvest.Cultivate.","1213 Phillips AVE SW, GRAND RAPIDS MI 49507","04/20/2026","Active",,,
"AU-G-C-001639","Class C Marihuana Grower - License","Tend.Harvest.Cultivate.","1213 Phillips AVE SW, GRAND RAPIDS MI 49507","04/20/2026","Active",,,
"AU-G-C-001638","Class C Marihuana Grower - License","Tend.Harvest.Cultivate.","1213 Phillips AVE SW, GRAND RAPIDS MI 49507","04/20/2026","Active",,,
"AU-G-C-001645","Class C Marihuana Grower - License","Bigg Canna of Manistee LLC","1009 Manistee ST Suite B, Manistee MI 49660","06/20/2026","Active",,,
"AU-G-C-001651","Class C Marihuana Grower - License","EVMI, LLC","700 N Main ST Suite A, Chesaning MI 48616","03/31/2026","Active",,,
"AU-G-C-001669","Class C Marihuana Grower - License","EVMI, LLC","700 N Main ST Suite A, Chesaning MI 48616","03/31/2026","Active",,,
"AU-G-C-001679","Class C Marihuana Grower - License","Forge Canna","208 Hyde ST, Kalkaska MI 49646","06/18/2026","Active",,,
"AU-G-C-001649","Class C Marihuana Grower - License","Green Generation LLC","3425 S Butler Rd, Dowling MI 49050","02/28/2026","Active",,"Public document available",
"AU-G-C-001654","Class C Marihuana Grower - License","Brothers Cole, Inc.","58629 Lewis RD, Vandalia MI 49095","05/13/2026","Active",,,
"AU-G-C-001650","Class C Marihuana Grower - License","Brothers Cole, Inc.","58629 Lewis RD, Vandalia MI 49095","05/13/2026","Active",,,
"AU-G-C-001629","Class C Marihuana Grower - License","HP Grow, LLC","22757 Dequindre RD, Hazel Park MI 48030","06/06/2026","Active",,,
"AU-G-C-001662","Class C Marihuana Grower - License","3BarC Incorporated","568 E Simpson RD, MANCELONA MI 49659","06/01/2026","Active",,"Public documents available",
"AU-G-C-001661","Class C Marihuana Grower - License","3BarC Incorporated","568 E Simpson RD, MANCELONA MI 49659","06/01/2026","Active",,"Public documents available",
"AU-G-C-001624","Class C Marihuana Grower - License","HOWLING MOON FARMS","8565 S M37 HWY, Hastings MI 49058","06/04/2026","Active",,,
"AU-G-C-001636","Class C Marihuana Grower - License","77 North Inc.","4404 N. M-77 HWY, Germfask MI 49836","02/18/2026","Active",,,
"AU-G-C-001642","Class C Marihuana Grower - License","Common Citizen","59242 White Temple RD, Vandalia MI 49095","03/05/2026","Active",,,
"AU-G-C-001643","Class C Marihuana Grower - License","Common Citizen","59242 White Temple RD, Vandalia MI 49095","03/05/2026","Active",,,
"AU-G-C-001644","Class C Marihuana Grower - License","Common Citizen","59242 White Temple RD, Vandalia MI 49095","03/05/2026","Active",,,
"AU-G-C-001635","Class C Marihuana Grower - License","77 North Inc.","4404 N. M-77 HWY, Germfask MI 49836","02/18/2026","Active",,,
"AU-G-C-001646","Class C Marihuana Grower - License","Arbor House Collective, LLC","23133 Schoenherr RD, Warren MI 48089","05/30/2026","Active",,,
"AU-G-C-001611","Class C Marihuana Grower - License","Quantum AG, LLC","9157 N Dort HWY, Mount Morris MI 48458","05/30/2026","Active",,,
"AU-G-C-001637","Class C Marihuana Grower - License","HOWLING MOON FARMS","8565 S M37 HWY, Hastings MI 49058","05/29/2026","Active",,,
"AU-G-C-001667","Class C Marihuana Grower - License","Floura Cannabis / Creed Cannabis","11530 Stephens RD Suite 110, WARREN MI 48089","05/21/2026","Active",,,
"AU-G-C-001666","Class C Marihuana Grower - License","Floura Cannabis / Creed Cannabis","11530 Stephens RD Suite 110, WARREN MI 48089","05/21/2026","Active",,,
"AU-G-C-001664","Class C Marihuana Grower - License","Floura Cannabis / Creed Cannabis","11530 Stephens RD Suite 110, Warren MI 48089","05/21/2026","Active",,,
"AU-G-C-001665","Class C Marihuana Grower - License","A & P Ventures, LLC","11530 Stephens RD Suite 110, Warren MI 48089","05/21/2026","Active",,,
"AU-G-C-001647","Class C Marihuana Grower - License","Arbor House Collective, LLC","23133 Schoenherr RD, Warren MI 48089","05/28/2026","Active",,,
"AU-G-C-001653","Class C Marihuana Grower - License","ADAMS FAMILY FARMS LLC","8100 S Broadway RD, Hastings MI 49058","10/14/2025","License Void",,,
"AU-G-C-001648","Class C Marihuana Grower - License","Arbor House Collective, LLC","23133 Schoenherr RD, Warren MI 48089","05/28/2026","Active",,,
"AU-G-C-001656","Class C Marihuana Grower - License","HZ Detroit Holdings 1, LLC","20601 Glendale ST, Detroit MI 48223","12/20/2025","Active",,,
"AU-G-C-001627","Class C Marihuana Grower - License","CALYXI","3801 Crooked Creek DR, Vassar MI 48768","03/08/2026","Active",,,
"AU-G-C-001655","Class C Marihuana Grower - License","HZ Detroit Holdings 1, LLC","20601 Glendale ST, Detroit MI 48223","12/20/2025","Active",,,
"AU-G-C-001633","Class C Marihuana Grower - License","Floura Cannabis / Creed Cannabis","11530 Stephens RD Suite 110, Warren MI 48089","05/21/2026","Active",,,
"AU-G-C-001657","Class C Marihuana Grower - License","Wheelhouse Growers, LLC","19832 E. North Caribou Lake RD, Detour MI 49725","01/08/2026","Active",,,
"AU-G-C-001631","Class C Marihuana Grower - License","7 Point Leaf, LLC","9090 Roselawn ST, Detroit MI 48204","10/29/2026","Active",,,
"AU-G-C-001632","Class C Marihuana Grower - License","Paragon Growers, LLC","1008 Watkins RD, Battle Creek MI 49015","07/25/2026","Active",,,
"AU-G-C-001634","Class C Marihuana Grower - License","Galenas Michigan LLC","118 Alvord RD, Camden MI 49232","12/10/2025","Active",,,
"AU-G-C-001625","Class C Marihuana Grower - License","Patterson Growth Partners LLC","3436 Patterson RD, Bay City MI 48706","05/09/2026","Active",,,
"AU-G-C-001623","Class C Marihuana Grower - License","Sapura","520 East Dresden ST, Kalkaska MI 49646","04/18/2026","Active",,,
"AU-G-C-001622","Class C Marihuana Grower - License","Sapura","520 East Dresden ST, Kalkaska MI 49646","04/18/2026","Active",,,
"AU-G-C-001621","Class C Marihuana Grower - License","Sapura","520 East Dresden ST, Kalkaska MI 49646","04/18/2026","Active",,,
"AU-G-C-001630","Class C Marihuana Grower - License","HZ Detroit Holdings 1, LLC","20601 Glendale ST, Detroit MI 48223","12/20/2025","Active",,,
"AU-G-C-001602","Class C Marihuana Grower - License","Spades Garden, LLC","580 S Mansfield AVE, Ypsilanti MI 48197","10/03/2026","Active",,,
"AU-G-C-001619","Class C Marihuana Grower - License","Phenohunters","2846 Hercules, Fennville MI 49408","06/18/2026","Active",,,
"AU-G-C-001618","Class C Marihuana Grower - License","ND Venture, LLC","3110 TURNER ST Bldg 3-1, Lansing MI 48906","04/18/2026","Active",,,
"AU-G-C-001617","Class C Marihuana Grower - License","Grasshopper Farms, Inc.","29003 County Road 665, Paw Paw MI 49079","05/20/2026","Active",,,
"AU-G-C-001628","Class C Marihuana Grower - License","West Michigan Farmers LLC","43239 West Red Arrow HWY, Paw Paw MI 49079","06/17/2026","Active",,,
"AU-G-C-001615","Class C Marihuana Grower - License","Distro 10 Inc","3379 Black RD, Prescott MI 48756","08/18/2026","Active",,,
"AU-G-C-001616","Class C Marihuana Grower - License","Apex Cannabis Company","2130 Apollo DR, Lansing MI 48906","04/16/2026","Active",,,
"AU-G-C-001604","Class C Marihuana Grower - License","Mitten Distro XX","9410 Davis HWY, Dimondale MI 48821","10/01/2026","Active",,,
"AU-G-C-001605","Class C Marihuana Grower - License","Mitten Distro XX","9410 Davis HWY, Dimondale MI 48821","10/01/2026","Active",,,
"AU-G-C-001606","Class C Marihuana Grower - License","Mitten Distro XX","9410 Davis HWY, Dimondale MI 48821","10/01/2026","Active",,,
"AU-G-C-001608","Class C Marihuana Grower - License","Tend.Harvest.Cultivate.","1751 West Beecher ST, Adrian MI 49221","04/20/2026","License Void",,,
"AU-G-C-001607","Class C Marihuana Grower - License","Tend.Harvest.Cultivate.","1751 West Beecher ST, Adrian MI 49221","04/20/2026","License Void",,,
"AU-G-C-001610","Class C Marihuana Grower - License","Tend.Harvest.Cultivate.","1751 West Beecher ST, Adrian MI 49221","04/20/2026","License Void",,,
"AU-G-C-001609","Class C Marihuana Grower - License","Tend.Harvest.Cultivate.","1751 West Beecher ST, Adrian MI 49221","04/20/2026","License Void",,,
"AU-G-C-001620","Class C Marihuana Grower - License","TJS GROUP, LLC","1750 E South ST, Owosso MI 48867","04/09/2026","Active",,,
"AU-G-C-001597","Class C Marihuana Grower - License","Forest Brothers","23300 Amber AVE, Warren MI 48089","04/01/2026","Active",,,
"AU-G-C-001579","Class C Marihuana Grower - License","Verde Grow, LLC","8740 Lyndon ST, Detroit MI 48238","03/27/2026","Active",,,
"AU-G-C-001596","Class C Marihuana Grower - License","Green Giant Farms, LLC","2285 Manor RD, Au Gres MI 48703","03/21/2026","Active",,,
"AU-G-C-001599","Class C Marihuana Grower - License","Enterprise CC, LLC","5775 Enterprise DR, Lansing MI 48911","03/05/2026","Active",,,
"AU-G-C-001600","Class C Marihuana Grower - License","Enterprise CC, LLC","5775 Enterprise DR, Lansing MI 48911","03/05/2026","Active",,,
"AU-G-C-001601","Class C Marihuana Grower - License","Enterprise CC, LLC","5775 Enterprise DR, Lansing MI 48911","03/05/2026","Active",,,
"AU-G-C-001582","Class C Marihuana Grower - License","Green Generation LLC","3425 S Butler Rd, Dowling MI 49050","02/28/2026","Active",,"Public document available",
"AU-G-C-001580","Class C Marihuana Grower - License","Victorian Reserves LLC","170 W Glocheski DR, Manistee MI 49660","02/28/2026","Active",,,
"AU-G-C-001573","Class C Marihuana Grower - License","Green-Go Distributors, LLC","1460 Atwater ST, Saginaw MI 48601","02/25/2026","Active",,,
"AU-G-C-001585","Class C Marihuana Grower - License","Healthy Greens Unit 2, LLC","30098 N Industrial DR Unit 1, Inkster MI 48141","04/11/2026","Active",,,
"AU-G-C-001587","Class C Marihuana Grower - License","Healthy Greens Unit 2, LLC","30098 N Industrial DR Unit 1, Inkster MI 48141","04/11/2026","Active",,,
"AU-G-C-001586","Class C Marihuana Grower - License","Custom Genetics LLC","6888 Whittemore RD, Whittemore MI 48770","02/20/2026","Active",,,
"AU-G-C-001590","Class C Marihuana Grower - License","Cannabis Cannabis","3925 Crooked Creek DR Bldg A, Vassar Township MI 48768","01/23/2026","Active",,,
"AU-G-C-001591","Class C Marihuana Grower - License","ALIEN TEK FARMS LLC","6702 SHERIDAN RD, VASSAR MI 48768","02/07/2026","Active",,,
"AU-G-C-001581","Class C Marihuana Grower - License","Mondaze Cannabis","583 S Maple RD, Ann Arbor MI 48103","02/04/2026","Active",,,
"AU-G-C-001568","Class C Marihuana Grower - License","Giving Tree Gardens","540 S Center ST, Adrian MI 49221","11/24/2026","Active",,,
"AU-G-C-001571","Class C Marihuana Grower - License","MMR INVESTMENT CAPITAL GROUP LLC","25225 EASY ST Suite A, WARREN MI 48089","04/04/2026","Active",,,
"AU-G-C-001583","Class C Marihuana Grower - License","Bow House","2100 S Washington AVE Suite 53C, Lansing MI 48910","05/06/2026","Active",,,
"AU-G-C-001578","Class C Marihuana Grower - License","Evergrow LLC","3420 Saint John ST, Flint MI 48505","01/21/2027","Active",,,
"AU-G-C-001577","Class C Marihuana Grower - License","Evergrow LLC","3420 Saint John ST, Flint MI 48505","01/21/2027","Active",,,
"AU-G-C-001559","Class C Marihuana Grower - License","ReLeaf Farms LLC","4855 Oak RD Suite A, Vassar MI 48768","01/09/2026","Active",,,
"AU-G-C-001558","Class C Marihuana Grower - License","ReLeaf Farms LLC","4855 Oak RD Suite A, Vassar MI 48768","01/09/2026","Active",,,
"AU-G-C-001560","Class C Marihuana Grower - License","Vassar Tech Farms LLC","4855 Oak RD Suite B, Vassar MI 48768","01/06/2026","Active",,,
"AU-G-C-001562","Class C Marihuana Grower - License","Vassar Tech Farms LLC","4855 Oak RD Suite B, Vassar MI 48768","01/06/2026","Active",,,
"AU-G-C-001561","Class C Marihuana Grower - License","Vassar Tech Farms LLC","4855 Oak RD Suite B, Vassar MI 48768","01/06/2026","Active",,,
"AU-G-C-001564","Class C Marihuana Grower - License","Wojo LLC","4070 Quarterline RD Bldg 1, Pinconning MI 48650","11/09/2026","Active",,,
"AU-G-C-001549","Class C Marihuana Grower - License","HZ Detroit Holdings 1, LLC","20601 Glendale ST, Detroit MI 48223","12/20/2025","Active",,,
"AU-G-C-001565","Class C Marihuana Grower - License","TIZB LLC","8817 Lyndon ST, Detroit MI 48238","12/20/2025","Active",,,
"AU-G-C-001547","Class C Marihuana Grower - License","Jupiter Operations, LLC","6544 US HWY 131, Fife Lake MI 49633","04/27/2026","Active",,,
"AU-G-C-001557","Class C Marihuana Grower - License","Healthy Greens Unit 2, LLC","30098 N Industrial DR Unit 1, Inkster MI 48141","04/11/2026","Active",,,
"AU-G-C-001563","Class C Marihuana Grower - License","Forte Cannabis","25371 Henry B Joy BLVD, Harrison Township MI 48045","05/14/2026","Active",,"Public Documents Available",
"AU-G-C-001567","Class C Marihuana Grower - License","TEAM 517, LLC","819 E Kalamazoo ST Suite B, Lansing MI 48912","11/22/2026","Active",,,
"AU-G-C-001555","Class C Marihuana Grower - License","M.I. JANE 2","7027 Miller Drive, Warren MI 48092","11/21/2026","Active",,,
"AU-G-C-001554","Class C Marihuana Grower - License","M.I. JANE 2","7027 Miller Drive, Warren MI 48092","11/21/2026","Active",,,
"AU-G-C-001552","Class C Marihuana Grower - License","M.I. JANE 2","7027 Miller Drive, Warren MI 48092","11/20/2026","Active",,,
"AU-G-C-001553","Class C Marihuana Grower - License","M.I. JANE 2","7027 Miller Drive, Warren MI 48092","11/20/2026","Active",,,
"AU-G-C-001556","Class C Marihuana Grower - License","Wildfire Partners, LLC","6800 Sheridan RD, Vassar MI 48768","11/19/2026","Active",,,
"AU-G-C-001543","Class C Marihuana Grower - License","POT OF GOLD DISTRO LLC","24314 Sherwood AVE, Center Line MI 48015","11/14/2026","Active",,"Public Documents Available",
"AU-G-C-001545","Class C Marihuana Grower - License","7699, LLC","4451 Ace Commercial CT, Bay City MI 48706","11/08/2026","Active",,,
"AU-G-C-001544","Class C Marihuana Grower - License","7699, LLC","4451 Ace Commercial CT, Bay City MI 48706","11/08/2026","Active",,"Public Documents Available",
"AU-G-C-001551","Class C Marihuana Grower - License","Healthy Greens Unit 2, LLC","30098 N Industrial DR Unit 1, Inkster MI 48141","04/11/2026","Active",,,
"AU-G-C-001539","Class C Marihuana Grower - License","7 Point Leaf, LLC","9090 Roselawn ST, Detroit MI 48204","10/29/2026","Active",,,
"AU-G-C-001548","Class C Marihuana Grower - License","CMW SPECIALTIES LLC","1312 LAKE ST, NILES MI 49120","10/28/2026","Active",,,
"AU-G-C-001519","Class C Marihuana Grower - License","Oak Canna, LLC","14402 Prairie ST Suite 420, Detroit MI 48238","10/21/2026","Active",,,
"AU-G-C-001535","Class C Marihuana Grower - License","Annin973, LLC","5445 S Pennsylvania AVE, Lansing MI 48911","10/11/2026","Active",,,
"AU-G-C-001542","Class C Marihuana Grower - License","MI Flower, LLC","4483 E Vienna RD, Clio MI 48420","10/09/2026","Active",,,
"AU-G-C-001528","Class C Marihuana Grower - License","Riverside Exotics, LLC","4473 W Jefferson AVE, Detroit MI 48209","10/08/2026","Active",,,
"AU-G-C-001536","Class C Marihuana Grower - License","Tango Jack","40390 Production DR Suite A, B, C, D, Harrison Township MI 48045","10/07/2026","Active",,,
"AU-G-C-001515","Class C Marihuana Grower - License","Spades Garden, LLC","580 S Mansfield AVE, Ypsilanti MI 48197","10/03/2026","Active",,,
"AU-G-C-001524","Class C Marihuana Grower - License","Hazy Farms","2642 Princess ST, Inkster MI 48141","02/27/2026","License Void",,,
"AU-G-C-001523","Class C Marihuana Grower - License","Hazy Farms","2642 Princess ST, Inkster MI 48141","02/27/2026","License Void",,,
"AU-G-C-001534","Class C Marihuana Grower - License","Biosphere Indoor, LLC","1301 W Dresser DR, Sturgis MI 49091","02/20/2026","Active",,,
"AU-G-C-001533","Class C Marihuana Grower - License","Herb Wealth LLC","27935 Groesbeck HWY, Roseville MI 48066","09/26/2026","Active",,,
"AU-G-C-001538","Class C Marihuana Grower - License","Creekside Farms, LLC","575 Hammontree DR, Morenci MI 49256","09/20/2026","Active",,,
"AU-G-C-001516","Class C Marihuana Grower - License","CRG Buds LLC","6702 Sheridan RD, Vassar MI 48768","09/24/2025","License Void",,,
"AU-G-C-001505","Class C Marihuana Grower - License","Primo Danks","33760 CR 653 Bldg B, Gobles MI 49055","04/19/2026","Active",,,
"AU-G-C-001525","Class C Marihuana Grower - License","Yetistash","7651 Cranberry Lake RD, Jonesville MI 49250","07/16/2026","Active",,,
"AU-G-C-001526","Class C Marihuana Grower - License","Samurai Cannabis, LLC","318 E Sherwood ST, Decatur MI 49045","09/12/2026","Active",,,
"AU-G-C-001527","Class C Marihuana Grower - License","Samurai Cannabis, LLC","318 E Sherwood ST, Decatur MI 49045","09/12/2026","Active",,,
"AU-G-C-001521","Class C Marihuana Grower - License","TOPPS","7214 Murthum, Warren MI 48092","09/10/2026","Active",,,
"AU-G-C-001517","Class C Marihuana Grower - License","Diamond Cut Farms 2, LLC","3712 Patterson RD, Bay City MI 48706","01/21/2026","Active",,,
"AU-G-C-001518","Class C Marihuana Grower - License","Green Hub Life","1023 Eden WAY, Chesaning MI 48616","09/04/2026","Active",,,
"AU-G-C-001520","Class C Marihuana Grower - License","Epic Gardens, LLC","19181 GLENDALE ST, Detroit MI 48223","02/01/2026","Active",,,
"AU-G-C-001495","Class C Marihuana Grower - License","PURE CLOUDS ENTERPRISES LLC","38030 Van Born, Wayne MI 48184","08/30/2026","Active",,,
"AU-G-C-001529","Class C Marihuana Grower - License","Art of Packs","3110 Turner ST Suite H, Lansing MI 48906","08/30/2026","Active",,,
"AU-G-C-001514","Class C Marihuana Grower - License","M&T Ventures LLC","12747 Stout ST, Detroit MI 48223","08/28/2026","Active",,,
"AU-G-C-001500","Class C Marihuana Grower - License","MTF Ventures, LLC","23200 Groesbeck HWY, Warren MI 48089","08/26/2026","Active",,,
"AU-G-C-001482","Class C Marihuana Grower - License","Alpha Brandz, LLC","826 East Kalamazoo ST, Lansing MI 48912","08/22/2026","Active",,,
"AU-G-C-001506","Class C Marihuana Grower - License","Blunt Force","3267 Rogers Meadows, Vassar MI 48768","08/15/2026","Active",,,
"AU-G-C-001502","Class C Marihuana Grower - License","1006, LLC","2 Johnson CT, Bay City MI 48708","08/06/2026","Active",,,
"AU-G-C-001503","Class C Marihuana Grower - License","1006, LLC","2 Johnson CT, Bay City MI 48708","08/06/2026","Active",,,
"AU-G-C-001504","Class C Marihuana Grower - License","1006, LLC","2 Johnson CT, Bay City MI 48708","08/05/2026","Active",,,
"AU-G-C-001513","Class C Marihuana Grower - License","Smiitty's, Inc.","50680 28th AVE, Bangor MI 49013","08/02/2026","Active",,,
"AU-G-C-001512","Class C Marihuana Grower - License","Smiitty's, Inc.","50680 28th AVE, Bangor MI 49013","08/02/2026","Active",,,
"AU-G-C-001511","Class C Marihuana Grower - License","Smiitty's, Inc.","50680 28th AVE, Bangor MI 49013","08/02/2026","Active",,,
"AU-G-C-001510","Class C Marihuana Grower - License","Smiitty's, Inc.","50680 28th AVE, Bangor MI 49013","08/02/2026","Active",,,
"AU-G-C-001509","Class C Marihuana Grower - License","Smiitty's, Inc.","50680 28th AVE, Bangor MI 49013","08/02/2026","Active",,,
"AU-G-C-001492","Class C Marihuana Grower - License","Arboretum Michigan, LLC","1305 S Cedar ST, Lansing MI 48910","07/18/2025","License Void",,"Public Documents Available",
"AU-G-C-001479","Class C Marihuana Grower - License","Arboretum Michigan LLC","1305 S Cedar ST, Lansing MI 48910","07/18/2025","License Void",,"Public Documents Available",
"AU-G-C-001496","Class C Marihuana Grower - License","Arboretum Michigan, LLC","1305 S Cedar ST, Lansing MI 48910","07/18/2025","License Void",,"Public Documents Available",
"AU-G-C-001484","Class C Marihuana Grower - License","Bay Breeze Farms, LLC","3171 Alabaster RD, Tawas City MI 48763","07/17/2026","Active",,,
"AU-G-C-001456","Class C Marihuana Grower - License","Fantasy Farms, LLC","1669 E Jolly RD, Lansing MI 48910","07/12/2025","License Void",,,
"AU-G-C-001462","Class C Marihuana Grower - License","Fantasy Farms, LLC","1669 E Jolly RD, Lansing MI 48910","07/12/2025","License Void",,,
"AU-G-C-001485","Class C Marihuana Grower - License","OAKMAC MANAGEMENT, LLC","3167 Alabaster RD, Tawas City MI 48763","06/30/2025","License Void",,,
"AU-G-C-001486","Class C Marihuana Grower - License","OAKMAC MANAGEMENT, LLC","3167 Alabaster RD, Tawas City MI 48763","06/30/2025","License Void",,,
"AU-G-C-001487","Class C Marihuana Grower - License","OAKMAC MANAGEMENT, LLC","3167 Alabaster RD, Tawas City MI 48763","06/30/2025","License Void",,,
"AU-G-C-001488","Class C Marihuana Grower - License","Green Tree","55880 72ND AVE, Lawrence MI 49064","07/05/2026","Active",,,
"AU-G-C-001483","Class C Marihuana Grower - License","Green Tree","55880 72ND AVE, Lawrence MI 49064","07/05/2026","Active",,,
"AU-G-C-001491","Class C Marihuana Grower - License","Green Tree","55880 72ND AVE, Lawrence MI 49064","07/05/2026","Active",,,
"AU-G-C-001490","Class C Marihuana Grower - License","Green Tree","55880 72ND AVE, Lawrence MI 49064","07/05/2026","Active",,,
