"Record Number","Record Type","Licensee Name","Address","Expiration Date","Status","Home Delivery","Disciplinary Action",
"PC-000873","Provisioning Center - License","Motown Meds","18334 W Warren AVE, Detroit MI 48228","12/22/2024","Closed",,,
"PC-000874","Provisioning Center - License","20past4 Big Rapids","701 Maple ST, Big Rapids MI 49307","04/01/2025","Closed",,,
"PC-000871","Provisioning Center - License","JARS Cannabis","1225 S Lapeer RD, Oxford MI 48371","03/06/2026","Active","Approved",,
"PC-000870","Provisioning Center - License","APOTHECARE ANN ARBOR","2793 Plymouth RD Suite C, Ann Arbor MI 48105","02/09/2025","Closed","Approved",,
"PC-000868","Provisioning Center - License","Cloud Cannabis Company","44115 Van Dyke AVE, Utica MI 48317","08/18/2026","Active",,,
"PC-000867","Provisioning Center - License","JARS Cannabis","20731 Dequindre RD, Hazel Park MI 48030","01/29/2026","Active",,,
"PC-000865","Provisioning Center - License","Crave Cannabis Ann Arbor","3860 Research Park DR Suite A, Ann Arbor MI 48108","12/15/2025","Active",,,
"PC-000864","Provisioning Center - License","Garden Holdings PCR LLC","32330 Ford RD Suite C, Garden City MI 48135","10/10/2025","Closed",,,
"PC-000863","Provisioning Center - License","JARS Cannabis","6450 S Cedar ST, Lansing MI 48911","07/01/2024","Closed",,,
"PC-000860","Provisioning Center - License","JARS Cannabis","200 E Main ST, Owosso MI 48867","03/31/2025","Closed",,,
"PC-000861","Provisioning Center - License","Meds Cafe","100 N Main ST, Cheboygan MI 49721","03/21/2026","Active",,,
"PC-000862","Provisioning Center - License","Vibe - Quincy","133 W Chicago ST, Quincy MI 49082","06/28/2024","Closed",,,
"PC-000859","Provisioning Center - License","Top Cannabis Outlet","108 Lafayette AVE, Bay City MI 48708","06/20/2024","Closed",,,
"PC-000855","Provisioning Center - License","Moses Roses","5806 Dixie Highway, Waterford MI 48329","04/28/2024","Closed","Approved",,
"PC-000856","Provisioning Center - License","Potter's Cannabis Boutique Battle Creek","2825 Capital Avenue SW, Battle Creek MI 49015","04/27/2024","Closed",,,
"PC-000854","Provisioning Center - License","Gramz Lapeer","10 E Genesee ST, Lapeer MI 48446","12/10/2025","Active",,,
"PC-000850","Provisioning Center - License","Green Medicine Shop","500 N Lafayette ST, Greenville MI 48838","03/13/2026","Active",,,
"PC-000848","Provisioning Center - License","JAR Capital, LLC","14930 LaPlaisance RD Unit 121/122, Monroe MI 48161","03/13/2024","Closed",,,
"PC-000851","Provisioning Center - License","Pure Cannabis Outlet","15311 S. Dixie HWY, Monroe MI 48161","03/09/2024","Closed","Approved",,
"PC-000846","Provisioning Center - License","Ascend Cannabis Group","503 Century Ave SW, Grand Rapids MI 49503","07/29/2026","Active","Approved",,
"PC-000839","Provisioning Center - License","Levels of Waterford","2060 Dixie HWY Suite 100, Waterford MI 48328","02/24/2026","Active",,,
"PC-000847","Provisioning Center - License","Greenways Provisioning Center","1221 M-30, Beaverton MI 48612","06/13/2026","Active",,"Public Documents Available",
"PC-000844","Provisioning Center - License","Gage Cannabis Company","24729 Sherwood AVE, Center Line MI 48015","07/30/2025","Closed",,,
"PC-000845","Provisioning Center - License","Remedi, LLC","4898 Bald Mountain RD, Orion Township MI 48359","01/19/2024","Closed",,,
"PC-000843","Provisioning Center - License","LE Retailer, LLC","5216 S. Westnedge AVE, Portage MI 49002","01/06/2025","Closed",,,
"PC-000836","Provisioning Center - License","Hasheesh","548 S State ST, Big Rapids MI 49307","12/27/2023","Closed",,,
"PC-000826","Provisioning Center - License","High Profile Cannabis Shop","20327 Groesbeck HWY, Detroit MI 48205","12/20/2023","Closed",,,
"PC-000837","Provisioning Center - License","PLANET 420","1901 S Dort HWY, Flint MI 48503","12/16/2024","Closed","Approved",,
"PC-000802","Provisioning Center - License","Pincanna","123 E South ST, Kalamazoo MI 49007","12/23/2023","Closed",,,
"PC-000842","Provisioning Center - License","Quality Roots, Inc.","1700 Tull CT, Waterford MI 48327","12/18/2026","Active","Approved",,
"PC-000838","Provisioning Center - License","Bud Brothers Provisioning","411 Lafayette AVE, Bay City MI 48708","11/17/2023","Closed",,"Public Documents Available",
"PC-000841","Provisioning Center - License","LIV Cannabis","3769 28th St. SE, Grand Rapids MI 49512","12/09/2023","Closed","Approved",,
"PC-000835","Provisioning Center - License","Nature's Alternative","15837 Mack AVE, Detroit MI 48224","12/07/2024","Closed",,,
"PC-000823","Provisioning Center - License","Levels Provisioning of Niles","1221 S 11th ST Suite 100, Niles MI 49120","11/17/2026","Active",,,
"PC-000834","Provisioning Center - License","High Haven Retail, LLC","1205 Washington AVE Suite B, Bay City MI 48708","11/10/2023","Closed",,,
"PC-000828","Provisioning Center - License","Gage Cannabis Company","118 N Columbus ST, Jackson MI 49201","03/17/2025","Closed",,,
"PC-000831","Provisioning Center - License","Da Cut Flint","2478 S. Dort HWY, Flint MI 48507","11/03/2023","Closed","Approved",,
"PC-000829","Provisioning Center - License","BBJF, LLC","6191 W Warren AVE, Detroit MI 48210","10/20/2024","Closed",,,
"PC-000825","Provisioning Center - License","Hikers Cannabis","6295 E 36th Street, White Cloud MI 49349","10/07/2026","Active",,,
"PC-000822","Provisioning Center - License","North Coast Provisions Sault Ste. Marie","2972 W. 8th ST, Sault Ste. Marie MI 49783","10/07/2023","Closed","Approved",,
"PC-000799","Provisioning Center - License","Zoo Zoo Pros, LLC","6220 E. 8 Mile RD, Detroit MI 48234","10/07/2023","Closed",,,
"PC-000821","Provisioning Center - License","Arborside A North Coast Joint Venture","1818 Packard ST, Ann Arbor MI 48104","09/27/2025","Closed","Approved","Public Documents Available",
"PC-000824","Provisioning Center - License","STIIIZY","859 SW Capital AVE, Battle Creek MI 49015","06/09/2026","Active",,"Public Documents Available",
"PC-000776","Provisioning Center - License","The Herbalist","15514 W Warren AVE, Detroit MI 48228","09/20/2024","Closed","Approved","Public Documents Available",
"PC-000818","Provisioning Center - License","Ox Tail - Lincoln Park Inc.","1005 John A Papalas DR, Lincoln Park MI 48146","09/08/2023","Closed","Approved",,
"PC-000816","Provisioning Center - License","Weisberger Ventures II, LLC","1032 S Main ST, Adrian MI 49221","03/21/2024","Closed",,,
"PC-000812","Provisioning Center - License","Plush Companies","1005 S Maple Island RD, Muskegon MI 49442","09/01/2026","Active",,,
"PC-000809","Provisioning Center - License","Sozo Cannabis","420 E 10 Mile RD Suite A, Pleasant Ridge MI 48069","12/19/2023","Closed","Approved",,
"PC-000813","Provisioning Center - License","The Dank Warehouse","606 3rd Street, Bay City MI 48708","08/12/2023","Closed",,,
"PC-000817","Provisioning Center - License","The Dude Abides Provisioning Center","1394 S Centerville RD, Sturgis MI 49091","01/08/2026","Active",,,
"PC-000814","Provisioning Center - License","Pure Roots","5805 Beckley RD, Battle Creek MI 49015","01/17/2023","Closed",,,
"PC-000798","Provisioning Center - License","Skymint - District Park","2900 South Division AVE, Grand Rapids MI 49548","07/05/2023","Closed",,,
"PC-000810","Provisioning Center - License","Sativa Rose LLC","5730 E 8 Mile Road RD, Detroit MI 48234","07/20/2024","Closed",,,
"PC-000805","Provisioning Center - License","Classic Roots Farm","1115 Corunna AVE, Owosso MI 48867","11/18/2024","Closed","Approved",,
"PC-000811","Provisioning Center - License","JARS Cannabis","1207 E Pickard RD, Mt Pleasant MI 48858","07/13/2025","Closed","Approved",,
"PC-000807","Provisioning Center - License","JARS Cannabis","1801 Peck ST, Muskegon MI 49441","07/05/2025","Closed","Approved",,
"PC-000801","Provisioning Center - License","Nobody's Home","90 W. Main ST, Benton Harbor MI 49022","07/01/2023","Closed",,,
"PC-000804","Provisioning Center - License","Thanos, LLC","314 Munson Avenue, Traverse City MI 49686","06/24/2024","Closed",,,
"PC-000808","Provisioning Center - License","JARS Cannabis","15519 S Telegraph RD, Monroe MI 48161","04/21/2025","Closed","Approved",,
"PC-000763","Provisioning Center - License","Green Genie 3, Inc.","20046 W Warren AVE, Detroit MI 48228","06/15/2026","Active",,"Public Documents Available",
"PC-000797","Provisioning Center - License","Skymint - District Park","1050 East Main ST, Morenci MI 49256","06/11/2023","Closed",,,
"PC-000794","Provisioning Center - License","Cannabis Lupus Cafe","300 M-553 Suite 2, Sands Township MI 49855","11/19/2022","Closed",,,
"PC-000790","Provisioning Center - License","Backpack Boyz LLC","6200 E.8 Mile Rd Bldg B AKA 6240 E.8 Mile Rd, Detroit MI 48234","06/09/2024","Closed",,,
"PC-000803","Provisioning Center - License","Pure Roots","515 North Larch ST Suite A, Lansing MI 48912","01/17/2023","Closed","Approved",,
"PC-000796","Provisioning Center - License","Exclusive Monroe, Exclusive Cannabis Cookies","14750 Laplaisance RD Unit H260, Monroe MI 48161","06/08/2025","Closed","Approved","Public Documents Available",
"PC-000785","Provisioning Center - License","Sticky Muskegon","1965 Peck ST, Muskegon MI 49441","11/08/2022","Closed",,,
"PC-000800","Provisioning Center - License","Dreams Canna","28930 South Telegraph RD, Southfield MI 48034","05/24/2024","Closed","Approved",,
"PC-000795","Provisioning Center - License","Planet 59","4641 Highland RD, Waterford MI 48328","05/19/2026","Active","Approved","Public Documents Available",
"PC-000787","Provisioning Center - License","Dutch Delight, LLC","2426 E Huron RD, Au Gres MI 48703","05/18/2025","Closed",,,
"PC-000791","Provisioning Center - License","Ascend Cannabis Group","1415 Michigan AVE, East Lansing MI 48823","07/29/2026","Active","Approved",,
"PC-000663","Provisioning Center - License","Proper Leaf Cannabis Company","81057 Main ST, Memphis MI 48041","04/21/2023","Closed",,,
"PC-000784","Provisioning Center - License","Gage Cannabis Company","922 S Main ST, Adrian MI 49221","07/18/2025","Closed",,"Public Documents Available",
"PC-000793","Provisioning Center - License","Sozo Cannabis","1101 Robert T. Longway BLVD, Flint MI 48503","12/19/2023","Closed",,,
"PC-000788","Provisioning Center - License","Rair","104 North Drake RD, Kalamazoo MI 49009","10/08/2022","Closed","Approved",,
"PC-000782","Provisioning Center - License","LightSky Farms Burton","3055 E Bristol RD, Burton MI 48529","04/13/2024","Closed",,"Public Documents Available",
"PC-000775","Provisioning Center - License","Talifer Holdings, LLC","3301 W Michigan AVE, Battle Creek MI 49037","04/07/2024","Active - Late Renewal",,,
"PC-000779","Provisioning Center - License","MPP Services, LLC","2122 N MLK Blvd Suite B, Lansing MI 48906","04/05/2023","Closed",,,
"PC-000774","Provisioning Center - License","Highway 420 Holdings, LLC","3769 W. Michigan AVE, Battle Creek MI 49037","04/05/2024","Closed",,,
"PC-000783","Provisioning Center - License","LIV Cannabis","453 S Broadway ST, Lake Orion MI 48362","04/01/2025","Closed","Approved",,
"PC-000780","Provisioning Center - License","JARS Cannabis","901 W Main ST, Owosso MI 48867","03/31/2024","Closed","Approved",,
"PC-000769","Provisioning Center - License","Levels of Big Rapids","1709 S. State ST, Big Rapids MI 49307","03/21/2023","Closed",,,
"PC-000777","Provisioning Center - License","JARS Cannabis","2790 Blue Star HWY, Fennville MI 49408","04/21/2024","Closed",,,
"PC-000772","Provisioning Center - License","Lemonati","1120 East Oakland AVE, Lansing MI 48906","03/17/2023","Closed",,,
"PC-000770","Provisioning Center - License","Neighborhood Provisions","909 W Washington AVE, Alpena MI 49707","03/15/2026","Active","Approved",,
"PC-000765","Provisioning Center - License","LIV Cannabis","2625 Hilton RD Suite 100, Ferndale MI 48220","03/11/2024","Closed","Approved","Public Documents Available",
"PC-000103","Provisioning Center - License","Herbal Solutions","124 W. Michigan AVE, Ypsilanti MI 48197","03/07/2024","Closed","Approved","Public Documents Available",
"PC-000768","Provisioning Center - License","Levels of Lansing","5508 S Cedar ST, Lansing MI 48911","03/07/2026","Closed",,"Public Documents Available",
"PC-000753","Provisioning Center - License","BLOC","200 E Main ST, Benton Harbor MI 49022","03/03/2026","Active",,,
"PC-000767","Provisioning Center - License","JARS Cannabis","26700 Liberal ST Suite 1, Center Line MI 48015","04/21/2025","Closed","Approved",,
"PC-000759","Provisioning Center - License","Bud Brothers Battle Creek","537 W. Columbia AVE, Battle Creek MI 49015","11/17/2023","Closed",,"Public documents available",
"PC-000771","Provisioning Center - License","315 North","26831 Michigan AVE, Inkster MI 48141","02/16/2024","Closed","Approved",,
"PC-000533","Provisioning Center - License","Endo","307 E Beecher ST, Adrian MI 49221","10/26/2025","Active - Late Renewal","Approved",,
"PC-000766","Provisioning Center - License","Lume Cannabis Co.","26760 Lahser RD, Southfield MI 48033","03/21/2026","Active",,,
"PC-000764","Provisioning Center - License","LIV Cannabis","6285 Martin Luther King Jr. BLVD, Lansing MI 48911","02/03/2024","Closed","Approved",,
"PC-000240","Provisioning Center - License","The Noggin Shop","52324 Duncan AVE, Hubbell MI 49934","01/31/2026","Active",,,
"PC-000748","Provisioning Center - License","Redbud Roots Lab X, Inc.","225 South Michigan AVE, Big Rapids MI 49307","01/13/2023","Closed",,,
"PC-000752","Provisioning Center - License","Jade Collection of Morenci","1098 E. Main ST, Morenci MI 49256","08/18/2023","Closed",,,
"PC-000761","Provisioning Center - License","Pleasantrees Cannabis Company","1504 John A. Papalas DR, Lincoln Park MI 48146","09/25/2022","Closed",,,
"PC-000762","Provisioning Center - License","Nature's Medicines","703 E Columbia AVE, Battle Creek MI 49014","01/18/2025","Closed",,"Public Documents Available",
"PC-000756","Provisioning Center - License","BaM Body and Mind","885 E. Apple AVE, Muskegon MI 49442","01/18/2023","Closed",,,
"PC-000760","Provisioning Center - License","High Fidelity","897 North AVE, Battle Creek MI 49017","01/06/2023","Closed",,"Public Documents Available",
"PC-000758","Provisioning Center - License","Ounces","811 Broadus ST Suite 100, Sturgis MI 49091","01/03/2023","Closed",,,
"PC-000746","Provisioning Center - License","Gage Cannabis Company","2712 Portage ST, Kalamazoo MI 49001","07/18/2025","Closed",,"Public Documents Available",
"PC-000757","Provisioning Center - License","Green Pharm","812 E. 9 Mile RD, Hazel Park MI 48030","04/21/2023","Closed","Approved",,
"PC-000754","Provisioning Center - License","Sticky Ypsi","1070 N Huron River DR, Ypsilanti MI 48197","11/08/2024","Closed",,,
"PC-000749","Provisioning Center - License","Pure Roots","26673 Lawrence AVE, Center Line MI 48015","01/17/2024","Closed","Approved","Public Documents Available",
"PC-000713","Provisioning Center - License","LivWell Enlightened Health","123 E State ST, Cheboygan MI 49721","12/14/2026","Active","Approved",,
"PC-000734","Provisioning Center - License","Quest Cannabis","8475 Main ST Suite B, Whitmore Lake MI 48189","12/10/2022","Closed","Approved",,
"PC-000751","Provisioning Center - License","JARS Cannabis","101 N Groesbeck HWY, Mount Clemens MI 48043","04/21/2024","Closed","Approved",,
"PC-000743","Provisioning Center - License","High Profile Boutique Cannabis","1265 E. Laketon AVE, Muskegon MI 49442","11/19/2022","Closed",,,
"PC-000740","Provisioning Center - License","Gatsby Cannabis","2401 E Milham, Portage MI 49002","12/09/2022","Closed",,,
"PC-000727","Provisioning Center - License","Gage Cannabis Company","3825 Stadium DR, Kalamazoo MI 49008","07/30/2025","Closed","Approved","Public Documents Available",
"PC-000744","Provisioning Center - License","High Profile Boutique Cannabis","1148 Leonard NW ST, Grand Rapids MI 49504","11/19/2022","Closed","Approved",,
"PC-000750","Provisioning Center - License","STIIIZY","5303 Portage RD, Kalamazoo MI 49002","06/09/2026","Active",,,
"PC-000729","Provisioning Center - License","Sunshine Pharms, LLC","666 Leonard St NW, Grand Rapids MI 49504","11/30/2023","Closed",,,
"PC-000083","Provisioning Center - License","M.S.C.3","717 Division ST, Adrian MI 49221","11/24/2026","Active",,,
"PC-000742","Provisioning Center - License","Pleasantrees Cannabis Company","237 N River RD, Mt. Clemens MI 48043","11/23/2025","Active - Late Renewal",,,
"PC-000745","Provisioning Center - License","Cloud Cannabis Detroit","16001 Mack AVE, Detroit MI 48224","11/23/2023","Closed",,,
"PC-000731","Provisioning Center - License","NAR Monroe","14733 S Telegraph RD, Monroe Township MI 48161","11/22/2023","Closed","Approved",,
"PC-000738","Provisioning Center - License","Green Pharm Ossineke","11686 US HWY 23 S Suite 200, Ossineke MI 49766","11/22/2022","Closed",,,
"PC-000735","Provisioning Center - License","Bud Brothers Huron","3392 S. Huron RD, Bay City MI 48706","11/17/2023","Closed","Approved","Public Documents Available",
"PC-000728","Provisioning Center - License","Smoke Society Bay City","3697 Wilder RD, Bay City MI 48706","11/08/2024","Closed",,,
"PC-000716","Provisioning Center - License","The Armory of Sturgis","1103 North Centerville RD, Sturgis MI 49091","11/16/2022","Closed",,,
"PC-000736","Provisioning Center - License","Pure NB","51543 Industrial DR, New Baltimore MI 48047","11/12/2024","Closed","Approved",,
"PC-000739","Provisioning Center - License","Prosper Cannabis Company","621 Industrial DR, Constantine MI 49042","11/12/2022","Closed",,"Public documents available",
"PC-000724","Provisioning Center - License","Jars Cannabis","709 East Columbia AVE, Battle Creek MI 49014","04/21/2025","Closed","Approved",,
"PC-000733","Provisioning Center - License","Iconic Wellness & Provisioning Center","810 Broadus ST, Sturgis MI 49091","11/05/2023","Closed",,,
"PC-000723","Provisioning Center - License","Ultra Cannabis","18207 W Eight Mile RD, Detroit MI 48219","11/04/2025","Active - Late Renewal","Approved",,
"PC-000737","Provisioning Center - License","Heritage Provisioning","1864 US-23, East Tawas MI 48730","08/31/2022","Closed","Approved","Public Documents Available",
"PC-000721","Provisioning Center - License","Cloud Cannabis Kalamazoo","521 East Mosel AVE Suite A, Kalamazoo MI 49004","12/22/2023","Closed","Approved",,
"PC-000732","Provisioning Center - License","Pinnacle Emporium","421 S Main ST, Camden MI 49232","12/09/2025","Closed",,,
"PC-000718","Provisioning Center - License","The Twisted Sista, LLC","403 S Main ST, Crystal MI 48818","10/29/2022","Closed",,"Public Documents Available",
"PC-000730","Provisioning Center - License","Green Labs Provisions","10701 Madison ST, Luna Pier MI 48157","10/26/2026","Active","Approved",,
"PC-000661","Provisioning Center - License","The Grassy Knoll","2125 Lemuel ST, Muskegon MI 49444","10/25/2022","Closed",,,
"PC-000726","Provisioning Center - License","Lume Cannabis Co.","1116 E State ST, Cheboygan MI 49721","03/21/2023","Closed",,,
"PC-000722","Provisioning Center - License","Great Lakes Natural Remedies","3465 Sheridan AVE, Saginaw MI 48601","02/21/2023","Closed","Approved",,
"PC-000669","Provisioning Center - License","Elite Cannabis","3389 S Huron RD Suite 3, Bay City MI 48706","10/20/2024","Closed","Approved",,
"PC-000717","Provisioning Center - License","That's Nice Dan LLC","776 N Mill ST, Northport MI 49670","10/12/2023","Closed","Approved",,
"PC-000670","Provisioning Center - License","KAI-Apple","3737 E. Apple AVE, Muskegon MI 49442","10/11/2022","Closed",,,
"PC-000725","Provisioning Center - License","Pure Options - Lansing Frandor","125 N Clippert ST, Lansing MI 48912","10/05/2026","Active",,,
"PC-000714","Provisioning Center - License","The Chronic Michigan","23751 Hoover RD Suite A, Warren MI 48089","12/19/2025","Active",,,
"PC-000715","Provisioning Center - License","LivWell Enlightened Health","14210 Eleven Mile RD, Warren MI 48089","07/02/2026","Active",,,
"PC-000677","Provisioning Center - License","West Malcolm X, LLC","2219 West Malcolm X ST, Lansing MI 48915","09/14/2022","Closed",,"Public Documents Available",
"PC-000719","Provisioning Center - License","NOBO","107 Water ST Suite 207, Benton Harbor MI 49022","06/02/2023","Closed",,"Public Documents Available",
"PC-000666","Provisioning Center - License","Bloom City Club","2773 South Centerville RD, Sturgis MI 49091","09/10/2022","Closed",,,
"PC-000673","Provisioning Center - License","Planted Provisioning","9545 Main ST, Whitmore Lake MI 48189","09/03/2026","Active","Approved","Public Documents Available",
"PC-000675","Provisioning Center - License","Puff","2 Ajax DR, Madison Heights MI 48071","09/03/2025","Closed","Approved",,
"PC-000640","Provisioning Center - License","Homegrown Cannabis Co.","117 E Main ST, Owosso MI 48867","08/27/2026","Active","Approved",,
"PC-000674","Provisioning Center - License","Motor City Oasis, LLC","18 Enterprise DR, Vassar MI 48768","08/26/2022","Closed",,,
"PC-000651","Provisioning Center - License","Puff Utica","44825 Van Dyke AVE, Utica MI 48317","08/26/2026","Active","Approved","Public Documents Available",
"PC-000658","Provisioning Center - License","Michigan Pure Green, LLC","115 Linden Street, Big Rapids MI 49307","01/22/2023","Closed",,,
"PC-000648","Provisioning Center - License","Olswell-Kalkaska","102 Northland PLZ, Kalkaska MI 49646","07/21/2023","Closed",,,
"PC-000647","Provisioning Center - License","The Outpost Marquette","3475 US 41 West, Marquette MI 49855","03/29/2023","Closed",,,
"PC-000672","Provisioning Center - License","JARS Cannabis","3005 Packard ST, Ann Arbor MI 48108","08/12/2024","Closed","Approved",,
"PC-000652","Provisioning Center - License","Star Budz Provisioning Center LLC","7035 State RD, Millington MI 48746","08/10/2023","Closed","Approved",,
"PC-000659","Provisioning Center - License","New Standard Whitehall","812 East Colby ST Unit A, Whitehall MI 49461","05/09/2023","Closed",,,
"PC-000667","Provisioning Center - License","Pleasantrees Cannabis Company","2161 West Houghton Lake DR, Denton Township MI 48651","09/25/2022","Closed",,,
"PC-000668","Provisioning Center - License","The Clinic Detroit","13815 W 8 Mile RD, Detroit MI 48235","08/03/2024","Closed",,"Public Documents Available",
"PC-000656","Provisioning Center - License","Gage Cannabis Company","6007 Ann Arbor RD, Jackson MI 49201","07/30/2023","Closed","Approved",,
"PC-000632","Provisioning Center - License","West Coast Meds, LLC","8620 Lyndon ST, Detroit MI 48238","07/26/2023","Closed","Approved",,
"PC-000650","Provisioning Center - License","HG Lansing LLC","5508 S. Cedar ST, Lansing MI 48911","04/25/2022","Closed",,,
"PC-000653","Provisioning Center - License","JARS Cannabis","1815 Alpine AVE, Grand Rapids MI 49504","04/21/2025","Closed","Approved",,
"PC-000662","Provisioning Center - License","Timber Cannabis Co.","133 Marshall ST, Allegan MI 49010","08/18/2022","Closed","Approved",,
"PC-000606","Provisioning Center - License","JARS Cannabis","4326 W Pierson RD, Flint MI 48504","07/15/2025","Closed","Approved","Public Documents Available",
"PC-000584","Provisioning Center - License","Greentown USA, LLC","1965 Peck ST, Muskegon MI 49443","07/14/2022","Closed",,,
"PC-000654","Provisioning Center - License","Levels","23968 Sherwood AVE, Center Line MI 48015","07/13/2023","Closed","Approved",,
"PC-000602","Provisioning Center - License","Pincanna","1234 E Grand River AVE, East Lansing MI 48823","12/23/2025","Active","Approved","Public Documents Available",
"PC-000644","Provisioning Center - License","Lume Cannabis Co.","902 S Cedar ST, Kalkaska MI 49646","03/21/2022","Closed",,,
"PC-000657","Provisioning Center - License","Budz Xclusive Cannabis","5808 E McNichols RD, Detroit MI 48212","07/09/2024","Closed",,"Public Documents Available",
"PC-000649","Provisioning Center - License","Lume Cannabis Co.","119 S Stephenson AVE, Iron Mountain MI 49801","03/21/2026","Active",,,
"PC-000645","Provisioning Center - License","Consume Cannabis of Ionia","406 S Steele ST, Ionia MI 48846","07/06/2023","Closed",,"Public Documents Available",
"PC-000646","Provisioning Center - License","Level Up Investments I, LLC","1840 Sixth ST Bldg A, Muskegon MI 49441","07/06/2023","Closed",,,
"PC-000613","Provisioning Center - License","Great Lakes Natural Remedies, Inc.","240 Arthur ST, Manistee MI 49660","02/21/2023","Closed","Approved",,
"PC-000598","Provisioning Center - License","Cannabis King","3309 Associates DR, Burton MI 48529","06/25/2024","Closed",,,
"PC-000641","Provisioning Center - License","Sunset Coast Provisions","980 E State ST, Cassopolis MI 49031","06/23/2022","Closed",,,
"PC-000620","Provisioning Center - License","New Standard Ann Arbor","811 North Main ST, Ann Arbor MI 48104","06/16/2022","Closed","Approved",,
"PC-000630","Provisioning Center - License","Consume Cannabis Bay City","901 Cass AVE, Bay City MI 48708","10/30/2023","Closed",,,
"PC-000623","Provisioning Center - License","RKD Ventures, LLC","1234 N Center RD, Burton MI 48509","06/14/2025","Closed",,"Public Documents Available",
"PC-000636","Provisioning Center - License","Nirvana Operations MI, LLC","412 Washington AVE, Bay City MI 48708","06/11/2023","Closed",,,
"PC-000642","Provisioning Center - License","STIIIZY","642 E 9 Mile RD, Ferndale MI 48220","06/09/2026","Active",,,
"PC-000624","Provisioning Center - License","Top Tree Provisioning","4365 F-41, Oscoda MI 48750","06/03/2022","Closed",,,
"PC-000628","Provisioning Center - License","Geoduck, LLC","107 N Main ST, Camden MI 49232","06/01/2023","Closed",,,
"PC-000622","Provisioning Center - License","JARS Cannabis Ann Arbor","450 S Main ST Suite 1, Ann Arbor MI 48104","05/28/2024","Closed","Approved","Public Documents Available",
"PC-000639","Provisioning Center - License","Herbology Cannabis Co Detroit","471 S Schaefer HWY, Detroit MI 48217","05/27/2023","Closed",,,
"PC-000629","Provisioning Center - License","North Coast Provisions","2972 W. 8th ST, Sault Ste Marie MI 49783","07/23/2023","Closed","Approved",,
"PC-000635","Provisioning Center - License","Nature's Remedy of Ferndale, LLC","925 E Drayton ST, Ferndale MI 48220","05/21/2026","Active","Approved",,
"PC-000627","Provisioning Center - License","Rair","702 Perry AVE, Big Rapids MI 49307","10/08/2022","Closed","Approved","Public Documents Available",
"PC-000626","Provisioning Center - License","New Standard Grand Haven","1125 S Beacon BLVD Unit C, Grand Haven MI 49417","05/21/2023","Closed",,"Public Documents Available",
"PC-000631","Provisioning Center - License","Diamond Cannabis Company","816 Washington AVE Suite 303, Bay City MI 48708","05/18/2023","Closed","Approved","Public Documents Available",
"PC-000625","Provisioning Center - License","The Green Door Pleasant Plains, Inc.","6159 S. Forman RD, Baldwin MI 49304","05/18/2022","Closed",,,
"PC-000637","Provisioning Center - License","Lume Cannabis Co.","910 Razorback DR, Houghton MI 49931","03/21/2023","Closed",,,
"PC-000616","Provisioning Center - License","Joyology of Quincy","104 W Chicago ST, Quincy MI 49082","05/19/2022","Closed","Approved","Public Documents Available",
"PC-000615","Provisioning Center - License","Primitiv","1286 S 11th ST, Niles MI 49120","05/13/2022","Closed",,,
