"Record Number","Record Type","License Name","Address","Expiration Date","Status","Notes","Disciplinary Action",
"AU-G-B-000311","Class B Marihuana Grower - License","Session Farms LLC","801 McKinch DR, Saranac MI 48881","06/20/2026","Active",,,
"AU-G-B-000308","Class B Marihuana Grower - License","Gas Face Farms","1380 E Pinconning RD, Pinconning MI 48650","06/07/2026","Active",,,
"AU-G-B-000306","Class B Marihuana Grower - License","GL Hydro Pharm LLC","6068 S U.S 131 HWY, Mancelona MI 49659","05/28/2026","Active",,,
"AU-G-B-000299","Class B Marihuana Grower - License","Saigon Lotus, LLC","1720 S Getty ST, Muskegon MI 49442","05/10/2025","License Void",,,
"AU-G-B-000298","Class B Marihuana Grower - License","Excel Farms","1253 W North Territorial RD, Ann Arbor MI 48105","05/02/2026","Active",,,
"AU-G-B-000301","Class B Marihuana Grower - License","Arjuna LLC","3110 Turner ST Suite 3L, Lansing MI 48906","04/29/2026","Active",,,
"AU-G-B-000300","Class B Marihuana Grower - License","Potter's Farm","1233 River Road W, Battle Creek MI 49037","04/10/2026","Active",,,
"AU-G-B-000296","Class B Marihuana Grower - License","EFF! LLC","7630 N LUMBERJACK RD, Riverdale MI 48877","03/29/2026","Active",,,
"AU-G-B-000297","Class B Marihuana Grower - License","Green-Go Distributors, LLC","1460 Atwater ST, Saginaw MI 48601","03/28/2025","License Void",,"Public Documents Available",
"AU-G-B-000292","Class B Marihuana Grower - License","BPMD Realty, LLC","5243 Wayne RD, Battle Creek MI 49037","06/02/2025","License Void",,,
"AU-G-B-000295","Class B Marihuana Grower - License","Great Lakes Cannafarms, LLC","1865 O'Rourke BLVD Unit B, Gaylord MI 49735","03/25/2026","Active",,,
"AU-G-B-000290","Class B Marihuana Grower - License","Smith’s Loud House LLC","64495 46th ST, Paw Paw MI 49079","02/28/2026","Active",,,
"AU-G-B-000291","Class B Marihuana Grower - License","Infinity Artisan Cannabis L.L.C.","911 W Laketon AVE, Muskegon MI 49441","02/23/2026","Suspended",,"Public Documents Available",
"AU-G-B-000293","Class B Marihuana Grower - License","Evolution Grow Company","1060 River Road W, Battle Creek MI 49037","02/09/2026","Active",,,
"AU-G-B-000288","Class B Marihuana Grower - License","PREMIUM PRODUCT SELECTION, LLC","107 W Delaware ST, Decatur MI 49045","01/05/2026","License Void",,,
"AU-G-B-000279","Class B Marihuana Grower - License","New Age Horticulture, LLC","6875 Sandy Ridge, Vassar MI 48768","12/11/2025","Active",,,
"AU-G-B-000284","Class B Marihuana Grower - License","Huron Garden","420 S 2nd ST, Harrisville MI 48740","12/05/2025","License Void",,,
"AU-G-B-000277","Class B Marihuana Grower - License","Northern Fire, Inc.","105 E Park DR, Kalkaska MI 49646","12/04/2026","Active",,,
"AU-G-B-000275","Class B Marihuana Grower - License","Three Guys and a Shed","51443 60th AVE, Lawrence MI 49064","11/20/2025","License Void",,,
"AU-G-B-000282","Class B Marihuana Grower - License","Greenroom Gardens LLC","2007 Henry ST, Muskegon MI 49441","08/12/2025","License Void",,,
"AU-G-B-000281","Class B Marihuana Grower - License","Teleology, LLC","51525 Industrial DR, NEW BALTIMORE MI 48047","06/13/2026","Active",,,
"AU-G-B-000280","Class B Marihuana Grower - License","United Growers, LLC","39530 W Red Arrow HWY Bldg 1, Paw Paw MI 49079","11/06/2025","License Void",,,
"AU-G-B-000273","Class B Marihuana Grower - License","Known.","8822 Honor Hwy, Beulah MI 49617","10/25/2026","Active",,,
"AU-G-B-000278","Class B Marihuana Grower - License","Way Up","23700 Amber AVE Suite A, Warren MI 48089","10/19/2024","License Void",,,
"AU-G-B-000270","Class B Marihuana Grower - License","Objectiv Growth Michigan LLC","775 E Washington AVE, Jackson MI 49203","09/23/2026","Active",,,
"AU-G-B-000262","Class B Marihuana Grower - License","Maverick Farms","2880 W Adams RD, Pentwater MI 49449","09/21/2026","Active",,,
"AU-G-B-000266","Class B Marihuana Grower - License","Ripe Herb","501 Hillsborough ST, Hartford MI 49057","09/06/2026","Active",,,
"AU-G-B-000267","Class B Marihuana Grower - License","Lupa Verde, LLC","3110 Turner ST Suite H, Lansing MI 48906","08/30/2024","License Void",,,
"AU-G-B-000259","Class B Marihuana Grower - License","Maceta","5040 Page AVE, Jackson MI 49201","08/29/2026","Active",,"Public Documents Available",
"AU-G-B-000264","Class B Marihuana Grower - License","Fast Flower Farms","405 Morton ST, Bay City MI 48706","08/04/2026","Active",,,
"AU-G-B-000263","Class B Marihuana Grower - License","Wise Guys Farms, LLC","8747 E Pere Marquette RD, Clare MI 48617","07/24/2026","Active",,"Public documents available",
"AU-G-B-000260","Class B Marihuana Grower - License","Family Trees LLC","4975 Page AVE, Michigan Center MI 49254","07/20/2026","Active","Social Equity",,
"AU-G-B-000261","Class B Marihuana Grower - License","Great Lakes Cannabis Management Group, LLC","7919 E 56th ST, Chase MI 49623","07/10/2026","Active",,,
"AU-G-B-000258","Class B Marihuana Grower - License","Liberty Wellness, LLC","208 Hyde ST, Kalkaska MI 49646","06/28/2025","License Void",,,
"AU-G-B-000257","Class B Marihuana Grower - License","1709 Marquette LLC","1709 Marquette AVE, Bay City MI 48706","06/26/2026","Active",,,
"AU-G-B-000254","Class B Marihuana Grower - License","Jelli D Enterprise LLC","6806 Sheridan Rd, Vassar MI 48768","06/16/2024","License Void",,,
"AU-G-B-000255","Class B Marihuana Grower - License","413SD, LLC","403 S Dix ST, Detroit MI 48217","06/01/2026","Active",,,
"AU-G-B-000256","Class B Marihuana Grower - License","Brothers Cole, Inc","52558 Burlington RD, Marcellus MI 49067","05/15/2024","License Void",,"Public Documents Available",
"AU-G-B-000253","Class B Marihuana Grower - License","PelleGreenCo, LLC","7325 Enterprise PKWY, Mt. Morris MI 48458","04/24/2026","Active",,,
"AU-G-B-000249","Class B Marihuana Grower - License","The Detroit Bud Company","23295 Blackstone AVE, Warren MI 48089","04/11/2025","License Void",,,
"AU-G-B-000248","Class B Marihuana Grower - License","Forest Brothers","23300 Amber AVE, Warren MI 48089","04/04/2025","License Void",,,
"AU-G-B-000250","Class B Marihuana Grower - License","Bud Bundy Farms, LLC","7044 State RD, Millington MI 48746","04/04/2026","Active",,,
"AU-G-B-000251","Class B Marihuana Grower - License","Grow Logic Farms","1610 O'Rourke BLVD, Gaylord MI 49735","03/30/2025","License Void",,,
"AU-G-B-000247","Class B Marihuana Grower - License","My Town Greens, LLC","926 E 10 Mile RD, Hazel Park MI 48030","03/20/2026","Active",,,
"AU-G-B-000243","Class B Marihuana Grower - License","M.O.A.B. Genetix LLC","1305 Kitson AVE, Sturgis MI 49091","02/16/2025","License Void",,,
"AU-G-B-000245","Class B Marihuana Grower - License","Zayna Enterprises LLC","1455 Industrial DR, Owosso MI 48867","02/08/2026","Active",,,
"AU-G-B-000240","Class B Marihuana Grower - License","Meadow Nursery, Inc.","16942 Woodlane DR, Nunica MI 49448","02/07/2026","Active",,"Public Documents Available",
"AU-G-B-000244","Class B Marihuana Grower - License","Terp Heads Cannabis","4412 Ace Commercial CT, Bay City MI 48706","02/06/2026","Active",,,
"AU-G-B-000246","Class B Marihuana Grower - License","McMaster Enterprises, LLC","1600 N Grand River Ave AVE, Lansing MI 48906","02/03/2026","Active",,,
"AU-G-B-000241","Class B Marihuana Grower - License","CannaSelect","20349 Waldo RD, Chelsea MI 48118","01/24/2025","License Void",,"Public Documents Available",
"AU-G-B-000242","Class B Marihuana Grower - License","Wilder Pharms","4401 Ace Commercial CT Bldg, Bay City MI 48706","01/06/2026","Active",,,
"AU-G-B-000237","Class B Marihuana Grower - License","Express Two N, Inc.","3896 Crooked Creek, Vassar MI 48768","12/21/2026","Active",,,
"AU-G-B-000231","Class B Marihuana Grower - License","ABC Industry LLC","24238 Mound RD, Warren MI 48091","11/07/2026","Active",,"Public Documents Available",
"AU-G-B-000232","Class B Marihuana Grower - License","TTC Grow","22817 Dequindre RD, Hazel Park MI 48030","11/03/2026","Active",,,
"AU-G-B-000235","Class B Marihuana Grower - License","Malmedy LLC","23227 Schoenherr RD, Warren MI 48089","10/25/2026","Active",,,
"AU-G-B-000230","Class B Marihuana Grower - License","Full Moon Harvest, LLC","7720 W Chicago ST, Detroit MI 48204","10/14/2024","License Void",,,
"AU-G-B-000215","Class B Marihuana Grower - License","Green Tree Relief","119 Enterprise DR, Reading MI 49274","01/09/2026","Active",,,
"AU-G-B-000211","Class B Marihuana Grower - License","Care by Design Health and Wellness Market, Inc.","1248 East Airway AVE, White Cloud MI 49349","03/15/2023","License Void",,,
"AU-G-B-000218","Class B Marihuana Grower - License","R & A Distributing, LLC","3110 Turner ST Bldg 1 - Ste C, Lansing MI 48906","07/29/2025","License Void",,"Public Documents Available",
"AU-G-B-000221","Class B Marihuana Grower - License","2growit, LLC","2500 E. Maumee ST, Adrian MI 49221","07/28/2024","License Void",,"Public Documents Available",
"AU-G-B-000216","Class B Marihuana Grower - License","Michigan Total Healing Center of Buchanan, LLC","7200 Old Pipestone RD, Eau Claire MI 49111","07/28/2023","License Void",,,
"AU-G-B-000223","Class B Marihuana Grower - License","J & R Growers, LLC","1952 W Houghton Lake DR Suite B, Prudenville MI 48651","07/20/2024","License Void",,,
"AU-G-B-000219","Class B Marihuana Grower - License","Sinse Green Acres LLC","5089 E. Harrison RD, Walkerville MI 49459","07/19/2023","License Void",,,
"AU-G-B-000217","Class B Marihuana Grower - License","Tri State Wellness & Recreational","7503 E. Reading RD, Pittsford MI 49271","07/15/2023","License Void",,"Public Documents Available",
"AU-G-B-000220","Class B Marihuana Grower - License","JK Growers","7630 N Lumberjack RD, Riverdale MI 48877","07/12/2024","License Void",,,
"AU-G-B-000210","Class B Marihuana Grower - License","Upper Shelf Cannabis Co.","105 BUCK LAKE RD, Mastodon Township MI 49920","07/08/2025","License Void",,,
"AU-G-B-000222","Class B Marihuana Grower - License","Vassar Green House, LLC","3867 Crooked Creek, Vassar MI 48768","07/07/2026","Active",,"Public documents available",
"AU-G-B-000207","Class B Marihuana Grower - License","Bean2Green","103 S Essex ST, Kalkaska MI 49646","07/06/2025","License Void",,,
"AU-G-B-000209","Class B Marihuana Grower - License","Purple Punch Station LLC","107 W Delaware ST, Decatur MI 49045","02/04/2024","License Void",,,
"AU-G-B-000203","Class B Marihuana Grower - License","Elevated Exotics","9570 State Hwy M-95, Republic MI 49879","06/16/2026","Active",,"Public documents available",
"AU-G-B-000200","Class B Marihuana Grower - License","Michigan GreenWorks, LLC","403 Pine ST, Kalkaska MI 49646","06/10/2026","Active",,,
"AU-G-B-000201","Class B Marihuana Grower - License","Superior Cannabis Company","1 E Superior AVE, Crystal Falls MI 49920","06/10/2025","License Void",,,
"AU-G-B-000212","Class B Marihuana Grower - License","Express One D, Inc.","3862 Crooked Creek, Vassar MI 48768","06/09/2026","Active",,"Public Documents Available",
"AU-G-B-000208","Class B Marihuana Grower - License","Primo Farms, LLC","1212 S Washington AVE, Lansing MI 48910","06/09/2025","License Void",,"Public Documents Available",
"AU-G-B-000202","Class B Marihuana Grower - License","GREEN PLANET LLC","3425 S BUTLER RD, Dowling MI 49050","05/19/2025","License Void",,,
"AU-G-B-000197","Class B Marihuana Grower - License","GOE, LLC","701 Terminal RD, Lansing MI 48906","06/02/2024","License Void",,,
"AU-G-B-000206","Class B Marihuana Grower - License","Native Michigan Remedies","2112 Industrial DR, Niles MI 49120","05/20/2024","License Void",,,
"AU-G-B-000195","Class B Marihuana Grower - License","Michigan Mean Green LLC","9613 Brickyard RD, Holton MI 49425","05/11/2025","License Void",,,
"AU-G-B-000199","Class B Marihuana Grower - License","The Legendary Leaf Inc","16932 Power DR, Nunica MI 49448","05/11/2026","Active",,,
"AU-G-B-000191","Class B Marihuana Grower - License","HMG 21, Inc","4365 F41, Oscoda MI 48750","05/11/2024","License Void",,,
"AU-G-B-000204","Class B Marihuana Grower - License","Wellbudds","1347 Prospect AVE, Caro MI 48723","05/10/2026","Active",,"Public Documents Available",
"AU-G-B-000198","Class B Marihuana Grower - License","Apex Cannabis Company","2130 Apollo DR, Lansing MI 48906","04/26/2025","License Void",,"Public Documents Available",
"AU-G-B-000185","Class B Marihuana Grower - License","JNN Property, LLC","7579 US Highway 131, Fife Lake MI 49633","04/21/2026","Active",,,
"AU-G-B-000189","Class B Marihuana Grower - License","Cunningham's Craft Cannabis LLC","4550 Wayne RD, Springfield MI 49037","04/18/2025","License Void",,,
"AU-G-B-000194","Class B Marihuana Grower - License","TWIZTED HEIGHTS CANNABIS","2029 Riggs AVE, Warren MI 48091","04/14/2025","License Void",,,
"AU-G-B-000192","Class B Marihuana Grower - License","Fraser Cultivation Group LLC","3966 Fraser RD, Pinconning MI 48650","03/31/2026","Active",,,
"AU-G-B-000193","Class B Marihuana Grower - License","MC3 Botanicals, Inc","576 Stager Lake RD, Crystal Falls MI 49920","03/30/2026","Active",,,
"AU-G-B-000188","Class B Marihuana Grower - License","J L Durk LLC","6591 S Tripp RD, Osseo MI 49266","03/24/2026","License Void",,,
"AU-G-B-000186","Class B Marihuana Grower - License","Epic Roots LLC","2103 Riggs AVE, Warren MI 48091","10/19/2026","Active",,,
"AU-G-B-000190","Class B Marihuana Grower - License","Givingtrees","1008 East 10 Mile RD, Hazel Park MI 48030","03/23/2025","License Void",,,
"AU-G-B-000187","Class B Marihuana Grower - License","Motor City Oasis LLC","18 Enterprise DR, Vassar MI 48768","01/25/2025","License Void",,,
"AU-G-B-000184","Class B Marihuana Grower - License","Frosty Trees","84 Snowfield RD, Negaunee MI 49866","02/28/2026","Active",,,
"AU-G-B-000182","Class B Marihuana Grower - License","AARDVARK INDUSTREES","2085 Glenn RD, Lansing MI 48906","02/10/2026","License Void",,"Public documents available",
"AU-G-B-000179","Class B Marihuana Grower - License","GreenSavvy, LLC","2305 N High Street ST, Lansing MI 48906","02/09/2026","Active",,"Public Documents Available",
"AU-G-B-000181","Class B Marihuana Grower - License","North Coast Cultivators LLC","1917 Enterprise ST, Marquette MI 49855","01/21/2024","License Void",,,
"AU-G-B-000178","Class B Marihuana Grower - License","Vivid Farms LLC","2273 Coolidge AVE, Barryton MI 49305","12/29/2025","Active",,"Public Documents Available",
"AU-G-B-000175","Class B Marihuana Grower - License","Flower Power Cannabis","11669 E 8 Mile RD, Warren MI 48089","12/17/2026","Active",,,
"AU-G-B-000176","Class B Marihuana Grower - License","MPG Agriculture LLC","69039 Elkhart RD, Edwardsburg MI 49112","12/17/2024","License Void",,"Public Documents Available",
"AU-G-B-000180","Class B Marihuana Grower - License","Rising Roots","12100 E V AVE, Vicksburg MI 49097","12/17/2026","Active",,,
"AU-G-B-000177","Class B Marihuana Grower - License","PDS Ventures, LLC","21445 Hoover RD Suite 320, Warren MI 48089","12/06/2022","License Void",,,
"AU-G-B-000172","Class B Marihuana Grower - License","Bow's on Deck","9222 North Dort HWY, Mt. Morris MI 48458","11/03/2023","License Void",,"Public Documents Available",
"AU-G-B-000171","Class B Marihuana Grower - License","CannaSelect","20349 Waldo RD, Chelsea MI 48118","10/29/2022","License Void",,,
"AU-G-B-000170","Class B Marihuana Grower - License","Holy Smokes Farms","2150 Apollo Drive Suite B, Lansing MI 48906","10/25/2025","License Void",,"Public Documents Available",
"AU-G-B-000165","Class B Marihuana Grower - License","Michigan Green Leaf, LLC","42600 Executive DR, Harrison Twp. MI 48045","10/21/2022","License Void",,,
"AU-G-B-000174","Class B Marihuana Grower - License","Vasmed LLC","6838 Sheridan RD, Vassar Township MI 48768","10/20/2023","License Void",,"Public Documents Available",
"AU-G-B-000173","Class B Marihuana Grower - License","Lake State Canna Company","1125 Case ST, Lansing MI 48906","10/19/2026","Active",,,
"AU-G-B-000161","Class B Marihuana Grower - License","Stone Depot Exceptional Cannabis","3435 East Michigan AVE, Jackson MI 49202","01/26/2025","License Void",,"Public Documents Available",
"AU-G-B-000169","Class B Marihuana Grower - License","Wanda Products LLC","1369 Cripps RD, Luzerne MI 48636","10/14/2026","Active",,"Public Documents Available",
"AU-G-B-000163","Class B Marihuana Grower - License","BAJ Management, LLC","14500 LaPlaisance RD Unit A10-A40, Monroe MI 48161","10/11/2022","License Void",,,
"AU-G-B-000162","Class B Marihuana Grower - License","3 Uncles LLC","228 W Superior ST, Muir MI 48860","09/29/2023","License Void",,"Public Documents Available",
"AU-G-B-000168","Class B Marihuana Grower - License","Green Mitten Harvest LLC","9384 N Saginaw RD, Mt. Morris MI 48458","09/23/2022","License Void",,,
"AU-G-B-000164","Class B Marihuana Grower - License","Mira Company, LLC","5230 Spens RD, Rogers City MI 49779","09/15/2024","License Void",,,
"AU-G-B-000153","Class B Marihuana Grower - License","Omer Lighthouse Company","407 W Center ST, Omer MI 48749","09/08/2022","License Void",,,
"AU-G-B-000159","Class B Marihuana Grower - License","Northern High Lights, LLC","1370 Industrial PKWY, Crystal Falls MI 49920","09/07/2024","License Void",,,
"AU-G-B-000156","Class B Marihuana Grower - License","Optimus Altum Growers","3110 Turner ST Suite H, Lansing MI 48906","08/30/2023","License Void",,,
"AU-G-B-000154","Class B Marihuana Grower - License","Blue Lane Grow LLC","33760 CR 653, Gobles MI 49055","08/24/2024","License Void",,"Public Documents Available",
"AU-G-B-000160","Class B Marihuana Grower - License","Green Mitten Pharms LLC","2761 M-61, Bentley MI 48613","08/20/2022","License Void",,,
"AU-G-B-000157","Class B Marihuana Grower - License","Kenai Red Group, LLC","3425 S Butler RD, Dowling MI 49050","05/22/2022","License Void",,,
"AU-G-B-000155","Class B Marihuana Grower - License","Connorberry Farms LLC","23285 Blackstone AVE, Warren MI 48089","08/13/2022","License Void",,,
"AU-G-B-000148","Class B Marihuana Grower - License","Black River Botanicals LLC","28120 County Road 215, Bangor MI 49013","08/04/2024","License Void",,"Public Documents Available",
"AU-G-B-000150","Class B Marihuana Grower - License","Truu Cannabis","914 E. Gier ST, Lansing MI 48906","08/03/2023","License Void",,,
"AU-G-B-000149","Class B Marihuana Grower - License","West Michigan Cannabis Cultivation, LLC","425 N Hamon ST, Walkerville MI 49459","08/02/2025","License Void",,,
"AU-G-B-000147","Class B Marihuana Grower - License","Great Lakes Aqua Culture, LLC","4880 126th AVE, Fennville MI 49408","07/29/2024","License Void",,"Public Documents Available",
"AU-G-B-000152","Class B Marihuana Grower - License","River Rock Alternative Meds, LLC","1003 N Elm ST, Tekonsha MI 49092","07/13/2025","License Void",,"Public Documents Available",
"AU-G-B-000146","Class B Marihuana Grower - License","U.P. North Farm, LLC","1516 N. M-37 HWY, Baldwin MI 49304","06/28/2023","License Void",,,
"AU-G-B-000141","Class B Marihuana Grower - License","Medical Greens Inc.","1204 W US HWY 2, Germfask MI 49836","06/22/2026","Active",,"Public Documents Available",
"AU-G-B-000139","Class B Marihuana Grower - License","Exotic Flowerz LLC","1300 Falahee RD Suite 101, JACKSON MI 49203","06/07/2023","License Void",,,
"AU-G-B-000142","Class B Marihuana Grower - License","Edmore Farms","1379 Industrial Park DR, Edmore MI 48829","05/27/2026","Active",,"Public Documents Available",
"AU-G-B-000143","Class B Marihuana Grower - License","CRG Buds LLC","6702 Sheridan RD, Vassar MI 48768","05/17/2025","License Void",,,
"AU-G-B-000136","Class B Marihuana Grower - License","Old Dune Farm LLC","49392 CR 384 RD, GRAND JUNCTION MI 49056","04/30/2025","License Void",,,
"AU-G-B-000140","Class B Marihuana Grower - License","New Lyfe Michigan, LLC","418 Maple ST, Kalkaska MI 49646","04/16/2026","Active",,,
"AU-G-B-000138","Class B Marihuana Grower - License","DNK Growers","1434 Diamond Reo WAY, Lansing MI 48910","04/16/2026","Active",,,
"AU-G-B-000137","Class B Marihuana Grower - License","Symponia Farms Inc.","1140 Harmonia RD, Battle Creek MI 49037","04/13/2026","Active",,"Public Documents Available",
"AU-G-B-000133","Class B Marihuana Grower - License","Lost Leaf LLC","772 N M-37 HWY, Baldwin MI 49304","03/29/2025","License Void",,,
"AU-G-B-000132","Class B Marihuana Grower - License","True Organics, LLC","52785 County Road 384, Grand Junction MI 49056","03/15/2026","Active",,"Public Documents Available",
"AU-G-B-000131","Class B Marihuana Grower - License","Parker Farms","6810 Sheridan RD, Vassar MI 48768","03/15/2025","License Void",,"Public Documents Available",
"AU-G-B-000130","Class B Marihuana Grower - License","Custom Genetics LLC","6888 Whittemore RD, Whittemore MI 48770","03/01/2025","License Void",,"Public Documents Available",
"AU-G-B-000126","Class B Marihuana Grower - License","Acme Alternative Health, LLC","315 E Dresden ST, Kalkaska MI 49646","02/19/2026","Active",,,
"AU-G-B-000128","Class B Marihuana Grower - License","Glo Farm, LLC","300 Elm ST, Kalkaska MI 49646","01/26/2026","Active",,"Public Documents Available",
"AU-G-B-000127","Class B Marihuana Grower - License","Hypha","404 South Park DR, Kalkaska MI 49646","01/21/2025","License Void",,,
"AU-G-B-000124","Class B Marihuana Grower - License","Green Sprout Grow LLC","737 Industrial Park RD Suite B, Bangor MI 49013","01/15/2023","License Void",,,
"AU-G-B-000129","Class B Marihuana Grower - License","Hi Cannabis","40739 Irwin DR, Harrison Township MI 48045","01/14/2026","License Void",,,
"AU-G-B-000123","Class B Marihuana Grower - License","Bullit + Budz","3660 Patterson RD Bldg C, Bay City MI 48706","12/30/2021","License Void",,,
"AU-G-B-000119","Class B Marihuana Grower - License","CCG Holdings Group, LLC","3049 S Dog Track RD, Baldwin MI 49304","12/11/2022","License Void",,"Public Documents Available",
"AU-G-B-000117","Class B Marihuana Grower - License","Better Daze","1760 Renaissance DR, Niles MI 49120","12/01/2024","License Void",,,
"AU-G-B-000118","Class B Marihuana Grower - License","Swift Cultivation LLC","2105 N Burdick ST, Kalamazoo MI 49007","11/19/2022","License Void",,,
"AU-G-B-000115","Class B Marihuana Grower - License","Jade Collection of Morenci","9081 Skyline Industrial DR, Morenci MI 49256","11/16/2023","License Void",,"Public Documents Available",
"AU-G-B-000116","Class B Marihuana Grower - License","CANNA BROZ","15403 SHARON RD Unit A, Chesaning MI 48616","10/22/2021","License Void",,,
"AU-G-B-000114","Class B Marihuana Grower - License","ADAMS FAMILY FARMS LLC","1832 LAWRENCE RD, HASTINGS MI 49058","10/14/2023","License Void",,"Public Documents Available",
"AU-G-B-000113","Class B Marihuana Grower - License","Aunt Sparkie's Inc.","81 Enterprise DR, Vassar MI 48768","09/17/2023","License Void",,"Public Documents Available",
"AU-G-B-000111","Class B Marihuana Grower - License","Exotic Matter","115 Chestnut ST, Kalkaska MI 49646","07/31/2026","Active",,,
"AU-G-B-000110","Class B Marihuana Grower - License","Ground Control Michigan","130 Hastings CT, Bangor MI 49013","07/28/2022","License Void",,,
"AU-G-B-000109","Class B Marihuana Grower - License","Liberty Wellness, LLC","208 Hyde ST, Kalkaska MI 49646","07/14/2023","License Void",,,
"AU-G-B-000107","Class B Marihuana Grower - License","Treetown Cannabis","834 Railroad ST, Ypsilanti MI 48197","01/07/2024","License Void",,,
"AU-G-B-000108","Class B Marihuana Grower - License","LocalGrove","42728 Executive DR, Harrison Township MI 48045","06/18/2026","Active",,"Public Documents Available",
"AU-G-B-000106","Class B Marihuana Grower - License","MM Agriculture, LLC","3306 N Martin Luther King Jr BLVD, Lansing MI 48906","05/11/2023","License Void",,,
"AU-G-B-000105","Class B Marihuana Grower - License","Glacier Cannabis","20275 Bethel Church RD, Manchester MI 48158","04/08/2021","License Void",,,
"AU-G-B-000104","Class B Marihuana Grower - License","Great Lakes Natural Remedies, Inc.","3435 Sheridan AVE, Saginaw MI 48601","02/12/2023","License Void",,"Public Documents Available",
"AU-G-B-000103","Class B Marihuana Grower - License","Arbor Farm I LLC","583 S. Maple RD, Ann Arbor MI 48103","02/25/2025","License Void",,,
"AU-G-B-000101","Class B Marihuana Grower - License","PM Growers, LLC","707 Industrial Park DR, Bangor MI 49013","01/23/2023","License Void",,"Public Documents Available",
