"Record Number","Record Type","Licensee Name","Address","Expiration Date","Status","Home Delivery","Disciplinary Action",
"PR-000217","Processor - License","Leaf and Bud","14470 Livernois AVE Suite B, Detroit MI 48238","10/02/2024","Closed",,,
"PR-000303","Processor - License","DF Michigan One, Inc.","1727 E 8 Mile RD, Hazel Park MI 48030","05/31/2026","Active",,"Public Documents Available",
"PR-000298","Processor - License","CLDD, LLC","2701 N. Dettman RD Unit 2, Jackson MI 49201","10/29/2024","Closed",,,
"PR-000293","Processor - License","Gage Cannabis Company","391 Midland RD, Bay City MI 48706","07/30/2026","Active",,,
"PR-000295","Processor - License","Nirvana Center Processing","24290 Sherwood AVE, Center Line MI 48015","05/13/2023","Closed",,"Public Documents Available",
"PR-000280","Processor - License","Layercake Farms 2, LLC","1850 Parmenter RD, Corunna MI 48817","05/26/2023","Revoked",,,
"PR-000262","Processor - License","Old 27 Buds Etc., LLC","292 Spires PKWY, Tekonsha MI 49092","08/17/2025","Closed",,"Public Documents Available",
"PR-000277","Processor - License","Trucenta LLC","21114 John R RD, Hazel Park MI 48030","08/16/2023","Closed",,,
"PR-000294","Processor - License","Iosco PR LLC","4611 Turtle RD, Turner MI 48765","04/26/2023","Closed",,"Public Documents Available",
"PR-000278","Processor - License","Exclusive Ann Arbor","3755 Varsity DR, Ann Arbor MI 48108","09/10/2025","Closed",,"Public Documents Available",
"PR-000243","Processor - License","NuEra Michigan","1268 Arbogast RD, Union City MI 49094","06/23/2026","Active",,,
"PR-000292","Processor - License","Gage Cannabis Company","41225 Production DR, Harrison Township MI 48045","07/18/2026","Active",,"Public Documents Available",
"PR-000276","Processor - License","Warren Supply Chain Services","23455 Regency Park DR Suite A, Warren MI 48089","08/16/2025","Closed",,"Public documents Available",
"PR-000271","Processor - License","Rogue Chemistry","6683 Cannon Center DR Bldg 2, Rockford MI 49341","06/07/2024","Closed",,,
"PR-000246","Processor - License","Highway Horticulture Productions","15325 W Michigan AVE, Marshall MI 49068","03/15/2024","Closed",,"Public Documents Available",
"PR-000272","Processor - License","JARS Cannabis","26700 Liberal ST Suite 2, Center Line MI 48015","04/21/2025","Closed",,,
"PR-000269","Processor - License","Ferndale Maize LLC","163 Premier DR Bldg A, Orion Charter Township MI 48359","03/11/2024","Closed",,"Public Documents Available",
"PR-000264","Processor - License","Woodrock Holdings, Inc.","51543 Industrial DR, New Baltimore MI 48047","03/08/2027","Active",,"Public Documents Available",
"PR-000275","Processor - License","Sugars Refinery LLC","495 Worden South ST, Marcellus MI 49067","03/08/2023","Closed",,,
"PR-000267","Processor - License","TAS Asset Holdings LLC","919 Filley ST Suite A, Lansing MI 48906","02/25/2023","Closed - Suspended",,"Public Documents Available",
"PR-000265","Processor - License","JOZ Farm","1220 E. 9 Mile RD, Hazel Park MI 48030","01/24/2024","Closed",,,
"PR-000247","Processor - License","Ripple Michigan","10260 Harvest Park RD Suite A, Dimondale MI 48821","01/24/2023","Closed",,,
"PR-000266","Processor - License","El Anar Investments, LLC","4184 Pier North BLVD Suite B, Flint MI 48504","01/18/2023","Closed",,,
"PR-000260","Processor - License","Farm Science Processing","24649 Mound RD Suite A, Warren MI 48091","08/09/2023","Closed",,,
"PR-000261","Processor - License","RWB Michigan, LLC","21445 Hoover RD Suite 313, Warren MI 48089","12/22/2025","Active",,"Public Documents Available",
"PR-000258","Processor - License","Blaze Canna","366 Watts RD, Jackson MI 49203","03/12/2023","Closed",,,
"PR-000255","Processor - License","Helios-Lang LLC","4121 Lang RD, Beaverton MI 48612","09/25/2023","Closed",,,
"PR-000257","Processor - License","High End Management LLC","1015 Barr AVE Suite 200, Lansing MI 48911","12/06/2022","Closed",,,
"PR-000259","Processor - License","Veritas Collective LLC","4115 Felters RD, Michigan Center MI 49254","12/06/2023","Closed",,,
"PR-000250","Processor - License","Common Citizen","11300 17 Mile RD, Marshall MI 49068","11/30/2026","Active",,,
"PR-000256","Processor - License","VBJG Mt. Clemens LLC","237 N River RD, Mt. Clemens MI 48043","11/23/2025","Active - Late Renewal",,"Public documents available",
"PR-000245","Processor - License","Kevy Bars LLC","2392 Davis RD, Au Gres MI 48703","11/17/2022","Closed",,,
"PR-000249","Processor - License","Smoke Society Bay City","3697 Wilder RD, Bay City MI 48706","11/08/2022","Closed",,,
"PR-000254","Processor - License","Lume Cannabis Co.","200 Hydraulic Falls RD, Iron Mountain MI 49801","03/21/2026","Active",,,
"PR-000240","Processor - License","High-Minded Creations","210 W Pickard RD, Mt. Pleasant MI 48858","08/18/2026","Active",,,
"PR-000220","Processor - License","Urban Medical Farms LLC","9700 E 8 Mile RD, Detroit MI 48234","10/26/2025","Active - Late Renewal",,,
"PR-000208","Processor - License","Objectiv Growth Michigan LLC","775 E Washington AVE, Jackson MI 49203","09/16/2023","Closed",,,
"PR-000253","Processor - License","ELITEXTRACTIONS","75 E Anchor ST, River Rouge MI 48218","10/19/2025","Active - Late Renewal",,"Public documents available",
"PR-000218","Processor - License","Tend.Harvest.Cultivate.","1213 Phillips SW AVE, Grand Rapids MI 49507","07/16/2026","Active",,,
"PR-000210","Processor - License","Society C","4601 Liberty Drive South Suite 710, Lake Orion MI 48359","10/08/2026","Active",,"Public Documents Available",
"PR-000216","Processor - License","WYLD","525 S Court ST Suite 110, Lapeer MI 48446","10/07/2026","Active",,,
"PR-000212","Processor - License","Culture Complex","525 S. Court ST Suite 120, Lapeer MI 48446","10/07/2023","Closed",,"Public documents available",
"PR-000221","Processor - License","QR Brands LLC","1028 East Michigan AVE Suite B, Battle Creek MI 49014","10/04/2023","Closed",,,
"PR-000223","Processor - License","Treetown Cannabis","4990 Page AVE, Michigan Center MI 49254","09/10/2025","Closed",,"Public Documents Available",
"PR-000207","Processor - License","MD Processing, LLC","427 N Steer ST Suite E, Addison MI 49220","09/23/2024","Closed",,,
"PR-000224","Processor - License","Nature's Medicines","4956 Wayne RD, Battle Creek MI 49037","12/07/2023","Closed",,,
"PR-000219","Processor - License","Area Capital, LLC","2 Johnson CT, Bay City MI 48708","08/05/2024","Closed",,,
"PR-000151","Processor - License","Green Labs, LLC","9623 Skyline Industrial DR, Morenci MI 49256","10/08/2026","Active",,"Public Documents Available",
"PR-000209","Processor - License","Blue Fox Brands Inc.","1420 South Washington AVE, Lansing MI 48910","08/30/2022","Closed",,,
"PR-000215","Processor - License","DKB2, LLC","32900 Dequindre RD Suite C, Warren MI 48092","11/12/2022","Closed",,,
"PR-000200","Processor - License","The Machine Grow and Processing, Inc.","29 Beardsley RD Suite B, Ionia MI 48846","06/03/2026","Active",,,
"PR-000194","Processor - License","Pure X, LLC","13951 10 Mile RD Suite B, Warren MI 48089","06/08/2026","Active",,"Public Documents Available",
"PR-000181","Processor - License","BVH LLC","4273 E Holland RD Suite P, Buena Vista MI 48601","04/22/2023","Closed",,,
"PR-000206","Processor - License","Level Up Holdings IV, LLC","24 Leonard Wood DR Suite A, Battle Creek MI 49037","05/28/2026","Closed",,,
"PR-000205","Processor - License","Kola Farms LLC","1024 Aulerich RD, East Tawas MI 48730","01/12/2026","Active",,,
"PR-000191","Processor - License","Orenda Ventures, LLC","21445 Hoover RD Suite 313, Warren MI 48089","05/18/2022","Closed",,,
"PR-000197","Processor - License","The Lab Processing and Co-Packing","207 Elsie ST, Kalkaska MI 49646","05/14/2024","Closed",,,
"PR-000198","Processor - License","Holistic Industries","29600 Stephenson HWY Suite 2, Madison Heights MI 48071","10/29/2026","Active",,,
"PR-000203","Processor - License","Trucenta LLC","22757 Dequindre RD, Hazel Park MI 48030","08/16/2024","Closed",,,
"PR-000189","Processor - License","IVP Holding, LLC","1973 E 10 Mile RD, Warren MI 48091","05/05/2026","Active",,,
"PR-000199","Processor - License","317 Extracts","81 Enterprise DR Suite C, Vassar MI 48768","04/30/2024","Closed",,"Public Documents Available",
"PR-000161","Processor - License","Packwoods Distribution","2001 E 10 Mile RD, Warren MI 48091","04/26/2024","Closed",,"Public documents available",
"PR-000179","Processor - License","Rosenberg Holdings, LLC","864 N. 12th ST Suite 152, Niles MI 49120","04/21/2022","Closed",,,
"PR-000142","Processor - License","Franckart Lapeer LLC","581 N. Water ST, Vassar MI 48768","04/21/2025","Closed",,"Public Documents Available",
"PR-000190","Processor - License","Wheelhouse Labs, LLC","19832 E. North Caribou Lake RD Suite 200, Detour MI 49725","04/15/2022","Closed",,,
"PR-000174","Processor - License","Midori Products, LLC","2450 Benzie HWY, Benzonia MI 49616","04/12/2023","Closed",,,
"PR-000164","Processor - License","Enterprise DST","5580 Enterprise CT Suite B, Warren MI 48092","12/18/2021","Closed",,,
"PR-000186","Processor - License","JRMI27, LLC","2701 N Dettman RD Suite A, Jackson MI 49201","03/17/2025","Closed",,,
"PR-000187","Processor - License","Blaze Canna","362 Watts RD, Jackson MI 49203","03/12/2023","Closed",,,
"PR-000184","Processor - License","Inkster Pine Park, LLC","2424 John Daly ST, Inkster MI 48141","03/01/2023","Closed",,,
"PR-000044","Processor - License","Truu Cannabis","1322 Rensen ST, Lansing MI 48910","04/25/2025","Closed",,,
"PR-000165","Processor - License","Michigan Investments 10 Inc.","772 E Pinconning RD, Pinconning MI 48650","07/09/2026","Active",,"Public Documents Available",
"PR-000185","Processor - License","One Garden","23751 Hoover RD Suite B, Warren MI 48089","12/19/2025","Active",,,
"PR-000137","Processor - License","Zen Republic, LLC","1465 W Beecher ST, Adrian MI 49221","02/05/2023","Closed",,"Public Documents Available",
"PR-000124","Processor - License","NOBO","900 Alreco RD, Benton Harbor MI 49022","06/02/2025","Closed",,"Public Documents Available",
"PR-000183","Processor - License","Evolution Edibles","4661 West Dickman RD Suite A, Battle Creek MI 49037","02/01/2024","Closed",,,
"PR-000163","Processor - License","Baked Releaf","1840 Terminal RD Unit C, Niles MI 49120","01/23/2025","Closed",,,
"PR-000177","Processor - License","Wanda Products, LLC","1369 Cripps RD, Luzerne MI 48636","01/25/2025","Closed",,"Public Documents Available",
"PR-000173","Processor - License","Lake Life Farms, Inc","10350 Harvest Park Suite A, Dimondale MI 48821","08/20/2022","Closed",,,
"PR-000169","Processor - License","Oak Canna & Wellness LLC","14402 Prairie ST Suite 710, Detroit MI 48238","01/07/2025","Closed",,"Public Documents Available",
"PR-000175","Processor - License","The Brand Lab","32620 Dequindre RD, Warren MI 48092","12/22/2023","Closed",,,
"PR-000171","Processor - License","Ascend Cannabis Group","735 E Hazel ST, Lansing MI 48912","07/29/2026","Active",,"Public Documents Available",
"PR-000072","Processor - License","Cannashine","171 S Huron RD, Linwood MI 48634","12/15/2025","Active",,"Public Documents Available",
"PR-000159","Processor - License","Symponia Farms Inc.","1140 Harmonia RD, Battle Creek MI 49037","07/29/2022","Closed",,,
"PR-000118","Processor - License","MEM Gardens LLC","346 Logan ST, Adrian MI 49221","10/08/2024","Closed",,,
"PR-000176","Processor - License","Berry Green Management Inc","1356 Imlay City RD, Lapeer MI 48446","12/07/2025","Closed",,"Public Documents Available",
"PR-000162","Processor - License","8 Mile Brands","871 E 8 Mile RD, Hazel Park MI 48030","11/26/2024","Closed",,"Public Documents Available",
"PR-000087","Processor - License","Terrapin MI","2055 Oak Industrial NE DR, Grand Rapids MI 49505","03/25/2023","Closed",,"Public Documents Available",
"PR-000157","Processor - License","Driven Grow, LLC","10925 Bruun TRL, Frederic MI 49733","03/21/2026","Active",,,
"PR-000156","Processor - License","Green Sprout Labs LLC","737 Industrial Park DR Suite A, Bangor MI 49013","11/09/2022","Closed",,,
"PR-000049","Processor - License","PharmaCann Michigan","21550 Hoover RD, Warren MI 48089","07/02/2025","Closed",,"Public Documents Available",
"PR-000170","Processor - License","Total Health Processing, LLC","3055 East Bristol RD, Burton MI 48529","11/02/2024","Closed",,"Public documents available",
"PR-000154","Processor - License","Progressive Treatment Solutions Warren","32660 Dequindre, Warren MI 48092","10/30/2025","Active - Late Renewal",,"Public Documents Available",
"PR-000172","Processor - License","SBCMI LLC","456 W 8 Mile RD, Hazel Park MI 48030","10/26/2023","Closed",,"Public Documents Available",
"PR-000152","Processor - License","Hayat Quality Provisioning I, Inc.","523 West 9 Mile RD Suite B, Hazel Park MI 48030","10/07/2024","Closed",,,
"PR-000167","Processor - License","Gage Cannabis Company","41455 Production DR, Harrison Township MI 48045","07/30/2026","Active",,"Public Documents Available",
"PR-000128","Processor - License","Canna Bee Extracts LLC","741 Brady ST, Chesaning MI 48616","10/12/2024","Closed",,"Public Documents Available",
"PR-000158","Processor - License","BR Laboratory of Chesaning, LLC","795 Eden WAY Suite B, Chesaning MI 48616","10/02/2022","Closed",,"Public Documents Available",
"PR-000047","Processor - License","Waypoint Industries","54341 M43 HWY, Bangor MI 49013","06/14/2025","Closed",,"Public Documents Available",
"PR-000146","Processor - License","Redbud Roots Lab IV, LLC","455 Post RD, Buchanan MI 49107","12/07/2026","Active",,,
"PR-000160","Processor - License","MEDIQ Laboratories","775 S Huron RD Suite B, Linwood MI 48634","09/10/2026","Active",,"Public Documents Available",
"PR-000150","Processor - License","Authentic 231","5130 Collins RD Bldg C, Manistee MI 49660","08/31/2026","Active",,"Public Documents Available",
"PR-000149","Processor - License","Sugarleaf SL, LLC","21445 Hoover RD Suite 302, Warren MI 48089","08/07/2021","Closed",,"Public Documents Available",
"PR-000155","Processor - License","Lume Cannabis Co.","9741 S Industrial Park DR, Evart MI 49631","03/21/2026","Active",,,
"PR-000022","Processor - License","Country Boy Farms, LLC","1117 N Main ST, Chesaning MI 48616","07/22/2023","Closed - Suspended",,"Public Documents Available",
"PR-000153","Processor - License","Larren Investments, LLC","1356 Imlay City RD, Lapeer MI 48446","08/09/2021","Closed",,,
"PR-000004","Processor - License","Classic Roots Farm","206 West Park DR, Kalkaska MI 49646","11/18/2022","Closed",,,
"PR-000056","Processor - License","CHM1 Inc.","42219 Irwin DR, Harrison Township MI 48045","07/22/2023","Closed - Suspended",,"Public Documents Available",
"PR-000126","Processor - License","Harbor Farmz","2839 Full Circle DR, Kalamazoo MI 49001","07/13/2022","Closed",,"Public Documents Available",
"PR-000148","Processor - License","Trucenta, LLC","23506 John R RD, Hazel Park MI 48030","08/16/2025","Closed",,"Public Documents Available",
"PR-000145","Processor - License","Primitiv","1230 Mason CT, Webberville MI 48892","05/13/2026","Active",,"Public Documents Available",
"PR-000120","Processor - License","Evo Pharms","24247 Gibson DR, Warren MI 48089","07/02/2026","Active",,"Public Documents Available",
"PR-000094","Processor - License","Pyramid Pens","736 N Larch ST, Lansing MI 48906","06/18/2024","Closed",,"Public Documents Available",
"PR-000138","Processor - License","EPS I, LLC","1120 Industrial RD, Marshall MI 49068","01/21/2026","Active",,"Public Documents Available",
"PR-000084","Processor - License","OTGMI, LLC","4184 Pier North BLVD Suite B, Flint MI 48504","06/05/2021","Closed",,"Public Documents Available",
"PR-000086","Processor - License","Dragonfly Vega","26980 County Road 215, Bangor MI 49013","04/25/2026","Active",,,
"PR-000096","Processor - License","Pincanna","419 E Pinconning RD, Pinconning MI 48650","11/15/2025","Active - Late Renewal",,"Public Documents Available",
"PR-000130","Processor - License","Black Market","3635 E Kilgore RD, Kalamazoo MI 49001","03/31/2025","Closed",,"Public Documents Available",
"PR-000121","Processor - License","Sky Labs, LLC","9421 N Dort HWY, Mt. Morris MI 48458","03/30/2024","Closed",,"Public Documents Available",
"PR-000125","Processor - License","822 Processing Center","822 Schuster AVE Suite B, Kalamazoo MI 49001","03/13/2022","Closed",,,
"PR-000114","Processor - License","MiMeds Processing","2309 N Burdick ST, Kalamazoo MI 49007","03/09/2023","Closed",,"Public Documents Available",
"PR-000067","Processor - License","Cresco Labs Michigan, LLC","210 W Oliver DR, Marshall MI 49068","03/04/2026","Active",,"Public DocumentsAvailable",
"PR-000102","Processor - License","Great Lakes Natural Remedies Inc","3435 Sheridan AVE, Saginaw MI 48601","07/19/2023","Closed - Suspended",,"Public Documents Available",
"PR-000091","Processor - License","Noble Road Company","428 N Cedar ST, Lansing MI 48912","02/25/2023","Closed",,"Public Documents Available",
"PR-000099","Processor - License","Fresh Coast Extracts","606 S Park DR, Kalkaska MI 49646","01/28/2026","Active",,,
"PR-000088","Processor - License","How Smooth It Is","11616 Northwest Monroe RD Suite C, Riverdale MI 48877","01/08/2024","Closed - Suspended",,"Public Documents Available",
"PR-000035","Processor - License","Tend.Harvest.Cultivate.","1751 W Beecher ST, Adrian MI 49221","07/16/2025","Closed",,"Public Documents Available",
"PR-000061","Processor - License","Cloud Cover","1239 Tech Drive, Webberville MI 48892","11/19/2022","Closed",,,
"PR-000080","Processor - License","Rair Systems","1225 S Dettman Rd Unit B, Jackson MI 49203","10/08/2022","Closed",,"Public Documents Available",
"PR-000108","Processor - License","Fello Cannabis","406 W. Southeastern AVE, Galien MI 49113","02/03/2021","Closed",,,
"PR-000023","Processor - License","UBaked","3245 Card DR, Burton MI 48529","12/02/2025","Active - Late Renewal",,"Public Documents Available",
"PR-000015","Processor - License","Common Citizen","721 E. Eight Mile RD, Hazel Park MI 48030","11/26/2020","Closed - Suspended",,"Public Documents Available",
"PR-000105","Processor - License","Canna43","33760 CR 653, Gobles MI 49055","02/01/2021","Closed",,,
"PR-000098","Processor - License","3843 Euclid, LLC","3843 N Euclid AVE, Bay City MI 48706","10/18/2024","Closed",,"Public Documents Available",
"PR-000100","Processor - License","Red Arrow Company","34280 56th ST, Bangor MI 49013","10/18/2025","Active - Late Renewal",,"Public Documents Available",
"PR-000057","Processor - License","Detroit Fudge Company","2251 W. Liberty ST, Ann Arbor MI 48103","10/29/2021","Closed",,"Public Documents Available",
"PR-000101","Processor - License","Pleasantrees Cannabis Company","41900 Executive DR, Harrison Township MI 48045","09/25/2026","Active",,,
"PR-000037","Processor - License","True North Collective MI","2648 E South ST, Jackson MI 49201","08/23/2026","Active",,"Public Documents Available",
"PR-000070","Processor - License","Lake Effect Group, LLC","3635 E. Kilgore RD, Kalamazoo MI 49001","04/17/2020","Closed",,,
"PR-000028","Processor - License","Comco Wellness","12584 Wooden RD Bldg 1, Jonesville MI 49250","02/21/2024","Closed",,"Public Documents Available",
"PR-000077","Processor - License","Glorious Cannabis Company","2497 E Huron RD, Au Gres MI 48703","09/10/2024","Closed",,"Public Documents Available",
"PR-000069","Processor - License","Lion Labs Ltd.","4800 N Grand River AVE, Lansing MI 48906","05/01/2026","Active",,"Public Documents Available",
"PR-000039","Processor - License","Skymint","10070 Harvest PARK, Dimondale MI 48821","10/18/2023","Closed",,"Public Documents Available",
"PR-000041","Processor - License","Redbud Roots Lab IV, LLC","215 Post RD Suite A, Buchanan MI 49107","12/07/2026","Active",,,
"PR-000021","Processor - License","Exclusive Ann Arbor","3820 Varsity DR, Ann Arbor MI 48108","09/10/2025","Closed",,"Public Documents Available",
"PR-000027","Processor - License","CLDD, LLC","1255 Falahee RD, Jackson MI 49203","10/29/2024","Closed",,"Public Documents Available",
"PR-000052","Processor - License","Cannalicious Labs","3996 N Fraser RD, Pinconning MI 48650","10/29/2026","Active",,"Public Documents Available",
"PR-000014","Processor - License","Humblebee Products, LLC","6974 N. Old 27, Frederic MI 49733","09/10/2024","Closed",,,
"PR-000005","Processor - License","Choice Lab","4499 Phelps DR, Jackson MI 49202","08/09/2026","Active",,"Public Documents Available",
"PR-000006","Processor - License","Peregrine Manufacturing","4115 Felters RD, Michigan Center MI 49254","09/10/2021","Closed",,"Public Documents Available",
"PR-000002","Processor - License","Glorious Cannabis Company","2642 PRINCESS ST, Inkster MI 48141","09/10/2019","Closed",,,
"PR-000017","Processor - License","Arbor Kitchen LLC","124 W Summit ST Suite B, C, D, Ann Arbor MI 48103","07/12/2026","Active",,"Public Documents Available",
"PR-000008","Processor - License","High Life Farms","624 Brady ST Suite B, Chesaning MI 48616","07/12/2023","Closed",,"Public Documents Available",
