record_number,record_type,business_name,address,expiration_date,status,notes,disciplinary_action,Unnamed: 8,program_type,license_category,license_class,source_file,home_delivery,latitude,longitude,geocode_status,geocode_precision,geocode_source
AU-G-B-000341,Class B Marihuana Grower - License,"Garden Holdings C, LLC","32330 Ford RD Suite A, Garden City MI 48135",10/08/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,42.32664631788,-83.359561387151,success,address,arcgis
AU-G-B-000339,Class B Marihuana Grower - License,Iliad Epic Grow,"921 Terminal RD, Lansing MI 48906",07/11/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,42.7656737,-84.5659326,success,address,nominatim
AU-G-B-000338,Class B Marihuana Grower - License,420 Satori LLC,"6764 Just Barns DR Unit 15, Fennville MI 49408",01/13/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,42.627248984122,-86.208262995914,success,address,arcgis
AU-G-B-000334,Class B Marihuana Grower - License,"Natural Tranquilities Springs, LLC","11025 Elk DR, Atlanta MI 49709",05/23/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,45.002975680401,-84.130968555869,success,address,arcgis
AU-G-B-000337,Class B Marihuana Grower - License,"Brothers Cole, Inc.","52558 Burlington RD, Marcellus MI 49067",05/13/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,42.0283,-85.8393628,success,address,nominatim
AU-G-B-000330,Class B Marihuana Grower - License,"Tarantula Genetics, LLC","1171 W Frances RD, MT Morris MI 48458",04/21/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,43.1341767,-83.7010845,success,address,nominatim
AU-G-B-000332,Class B Marihuana Grower - License,Pincanna,"419 E. Pinconning RD, Pinconning MI 48650",04/13/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,43.8533601,-83.9589525,success,address,nominatim
AU-G-B-000329,Class B Marihuana Grower - License,Southland Farms,"215 S 11th ST, Niles MI 49120",03/17/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,41.825819,-86.246919,success,address,nominatim
AU-G-B-000327,Class B Marihuana Grower - License,BUZZZY LLC,"3435 E MICHIGAN AVE, JACKSON MI 49202",03/11/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,42.257233,-84.3553201,success,address,nominatim
AU-G-B-000320,Class B Marihuana Grower - License,Fireline LLC,"110 W Park DR, Kalkaska MI 49646",10/21/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,44.774346,-85.0328625,success,address,nominatim
AU-G-B-000322,Class B Marihuana Grower - License,MIDLER INDUSTRIES,"3555 Smokey Ridge RD, Vassar MI 48768",10/09/2025,License Void,,,,AU,Grower,B,AU - Class B Grower.csv,,42.986981448132,-85.005176448421,success,address,arcgis
AU-G-B-000321,Class B Marihuana Grower - License,Supreme Colas LLC,"14290 Schaefer HWY Suite 1, Detroit MI 48227",10/09/2025,License Void,,,,AU,Grower,B,AU - Class B Grower.csv,,42.38997019999999,-83.18106345460464,success,address,photon
AU-G-B-000319,Class B Marihuana Grower - License,Schaefer Cannabis,"14290 SCHAEFER HWY Suite 3, Detroit MI 48227",08/29/2025,License Void,,,,AU,Grower,B,AU - Class B Grower.csv,,42.391475435529,-83.177925377701,success,address,arcgis
AU-G-B-000318,Class B Marihuana Grower - License,"Michigan Pipe Dreams, LLC","4540 Wayne RD, SPRINGFIELD MI 49037",08/28/2025,License Void,,,,AU,Grower,B,AU - Class B Grower.csv,,42.3315349,-85.2718655,success,address,nominatim
AU-G-B-000316,Class B Marihuana Grower - License,"Quantum Ag, LLC","9157 N Dort HWY, Mount Morris MI 48458",07/30/2025,License Void,,,,AU,Grower,B,AU - Class B Grower.csv,,43.1106322,-83.6941843,success,address,photon
AU-G-B-000312,Class B Marihuana Grower - License,EZST Scientific,"25185 Easy ST, Warren MI 48089",07/25/2026,Active,,Public documents available,,AU,Grower,B,AU - Class B Grower.csv,,42.4806744,-82.9761023,success,address,nominatim
AU-G-B-000317,Class B Marihuana Grower - License,Love Supreme Craft Cannabis,"1925 Century Ave SW Unit B, Grand Rapids MI 49503",07/08/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,42.9556776,-85.6723739,success,address,photon
AU-G-B-000313,Class B Marihuana Grower - License,HLS PARTNERS LLC,"490 E Dresden ST, Kalkaska MI 49646",07/02/2025,License Void,,,,AU,Grower,B,AU - Class B Grower.csv,,44.7355403,-85.1740468,success,address,nominatim
AU-G-B-000314,Class B Marihuana Grower - License,"EPS I, LLC","1120 INDUSTRIAL RD, MARSHALL MI 49068",06/17/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,42.2670636,-84.9822247,success,address,nominatim
AU-G-B-000304,Class B Marihuana Grower - License,Nug Life Canna,"1008 E 10 Mile RD, Hazel Park MI 48030",07/02/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,42.4758919,-83.0952091,success,address,nominatim
AU-G-B-000309,Class B Marihuana Grower - License,Git Wright LLC,"57773 Gards Prairie RD, Cassopolis MI 49031",06/25/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,41.96051010868,-85.953548360335,success,address,arcgis
AU-G-B-000307,Class B Marihuana Grower - License,Evergreen Organics Farm LLC,"3868 N Chard RD, Hessel MI 49745",06/21/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,46.063130905881,-84.401174208336,success,address,arcgis
AU-G-B-000311,Class B Marihuana Grower - License,Session Farms LLC,"801 McKinch DR, Saranac MI 48881",06/20/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,42.973615584417,-85.194797024687,success,address,arcgis
AU-G-B-000308,Class B Marihuana Grower - License,Gas Face Farms,"1380 E Pinconning RD, Pinconning MI 48650",06/07/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,43.853639,-83.9917338,success,address,nominatim
AU-G-B-000306,Class B Marihuana Grower - License,GL Hydro Pharm LLC,"6068 S U.S 131 HWY, Mancelona MI 49659",05/28/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,44.910819,-85.05189096251925,success,address,photon
AU-G-B-000299,Class B Marihuana Grower - License,"Saigon Lotus, LLC","1720 S Getty ST, Muskegon MI 49442",05/10/2025,License Void,,,,AU,Grower,B,AU - Class B Grower.csv,,43.221061,-86.2242622,success,address,nominatim
AU-G-B-000298,Class B Marihuana Grower - License,Excel Farms,"1253 W North Territorial RD, Ann Arbor MI 48105",05/02/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,42.38679185,-83.93407948418981,success,address,photon
AU-G-B-000301,Class B Marihuana Grower - License,Arjuna LLC,"3110 Turner ST Suite 3L, Lansing MI 48906",04/29/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,42.76471299248,-84.555628041064,success,address,arcgis
AU-G-B-000300,Class B Marihuana Grower - License,Potter's Farm,"1233 River Road W, Battle Creek MI 49037",04/10/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,42.3397635,-85.249125,success,address,nominatim
AU-G-B-000296,Class B Marihuana Grower - License,EFF! LLC,"7630 N LUMBERJACK RD, Riverdale MI 48877",03/29/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,43.42416135,-84.83459764388343,success,address,photon
AU-G-B-000297,Class B Marihuana Grower - License,"Green-Go Distributors, LLC","1460 Atwater ST, Saginaw MI 48601",03/28/2025,License Void,,Public Documents Available,,AU,Grower,B,AU - Class B Grower.csv,,43.4188152,-83.9272825,success,address,nominatim
AU-G-B-000292,Class B Marihuana Grower - License,"BPMD Realty, LLC","5243 Wayne RD, Battle Creek MI 49037",06/02/2025,License Void,,,,AU,Grower,B,AU - Class B Grower.csv,,42.3362751,-85.2839531,success,address,nominatim
AU-G-B-000295,Class B Marihuana Grower - License,"Great Lakes Cannafarms, LLC","1865 O'Rourke BLVD Unit B, Gaylord MI 49735",03/25/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,45.00866340457735,-84.69444191722218,success,address,photon
AU-G-B-000290,Class B Marihuana Grower - License,Smith’s Loud House LLC,"64495 46th ST, Paw Paw MI 49079",02/28/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,42.2301255,-85.9935753,success,address,nominatim
AU-G-B-000291,Class B Marihuana Grower - License,Infinity Artisan Cannabis L.L.C.,"911 W Laketon AVE, Muskegon MI 49441",02/23/2026,Suspended,,Public Documents Available,,AU,Grower,B,AU - Class B Grower.csv,,43.2198577,-86.2613404,success,address,nominatim
AU-G-B-000293,Class B Marihuana Grower - License,Evolution Grow Company,"1060 River Road W, Battle Creek MI 49037",02/09/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,42.3387249,-85.2451694,success,address,nominatim
AU-G-B-000288,Class B Marihuana Grower - License,"PREMIUM PRODUCT SELECTION, LLC","107 W Delaware ST, Decatur MI 49045",01/05/2026,License Void,,,,AU,Grower,B,AU - Class B Grower.csv,,42.1085004,-85.9745388,success,address,nominatim
AU-G-B-000279,Class B Marihuana Grower - License,"New Age Horticulture, LLC","6875 Sandy Ridge, Vassar MI 48768",12/11/2025,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,42.751513003008,-85.449372264248,success,address,arcgis
AU-G-B-000284,Class B Marihuana Grower - License,Huron Garden,"420 S 2nd ST, Harrisville MI 48740",12/05/2025,License Void,,,,AU,Grower,B,AU - Class B Grower.csv,,44.6533182,-83.2923117,success,address,nominatim
AU-G-B-000277,Class B Marihuana Grower - License,"Northern Fire, Inc.","105 E Park DR, Kalkaska MI 49646",12/04/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,44.774346,-85.0328625,success,address,nominatim
AU-G-B-000275,Class B Marihuana Grower - License,Three Guys and a Shed,"51443 60th AVE, Lawrence MI 49064",11/20/2025,License Void,,,,AU,Grower,B,AU - Class B Grower.csv,,42.2001853,-86.048282,success,address,nominatim
AU-G-B-000282,Class B Marihuana Grower - License,Greenroom Gardens LLC,"2007 Henry ST, Muskegon MI 49441",08/12/2025,License Void,,,,AU,Grower,B,AU - Class B Grower.csv,,43.2160142,-86.2629911,success,address,nominatim
AU-G-B-000281,Class B Marihuana Grower - License,"Teleology, LLC","51525 Industrial DR, NEW BALTIMORE MI 48047",06/13/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,42.6811555,-82.7522622,success,address,nominatim
AU-G-B-000280,Class B Marihuana Grower - License,"United Growers, LLC","39530 W Red Arrow HWY Bldg 1, Paw Paw MI 49079",11/06/2025,License Void,,,,AU,Grower,B,AU - Class B Grower.csv,,42.212853013637,-85.932439959577,success,address,arcgis
AU-G-B-000273,Class B Marihuana Grower - License,Known.,"8822 Honor Hwy, Beulah MI 49617",10/25/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,44.665189592477,-86.062229539297,success,address,arcgis
AU-G-B-000278,Class B Marihuana Grower - License,Way Up,"23700 Amber AVE Suite A, Warren MI 48089",10/19/2024,License Void,,,,AU,Grower,B,AU - Class B Grower.csv,,42.46732324346634,-82.99725825282681,success,address,photon
AU-G-B-000270,Class B Marihuana Grower - License,Objectiv Growth Michigan LLC,"775 E Washington AVE, Jackson MI 49203",09/23/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,42.2432874,-84.3876965,success,address,nominatim
AU-G-B-000262,Class B Marihuana Grower - License,Maverick Farms,"2880 W Adams RD, Pentwater MI 49449",09/21/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,43.804952,-86.4073796,success,address,nominatim
AU-G-B-000266,Class B Marihuana Grower - License,Ripe Herb,"501 Hillsborough ST, Hartford MI 49057",09/06/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,42.2091025,-86.1688255,success,address,nominatim
AU-G-B-000267,Class B Marihuana Grower - License,"Lupa Verde, LLC","3110 Turner ST Suite H, Lansing MI 48906",08/30/2024,License Void,,,,AU,Grower,B,AU - Class B Grower.csv,,42.76172116514196,-84.5552315501264,success,address,photon
AU-G-B-000259,Class B Marihuana Grower - License,Maceta,"5040 Page AVE, Jackson MI 49201",08/29/2026,Active,,Public Documents Available,,AU,Grower,B,AU - Class B Grower.csv,,42.2407939,-84.3756656,success,address,nominatim
AU-G-B-000264,Class B Marihuana Grower - License,Fast Flower Farms,"405 Morton ST, Bay City MI 48706",08/04/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,43.5759831,-83.9093692,success,address,nominatim
AU-G-B-000263,Class B Marihuana Grower - License,"Wise Guys Farms, LLC","8747 E Pere Marquette RD, Clare MI 48617",07/24/2026,Active,,Public documents available,,AU,Grower,B,AU - Class B Grower.csv,,43.81550652030406,-84.75974809209369,success,address,photon
AU-G-B-000260,Class B Marihuana Grower - License,Family Trees LLC,"4975 Page AVE, Michigan Center MI 49254",07/20/2026,Active,Social Equity,,,AU,Grower,B,AU - Class B Grower.csv,,42.2334278,-84.3151246,success,address,nominatim
AU-G-B-000261,Class B Marihuana Grower - License,"Great Lakes Cannabis Management Group, LLC","7919 E 56th ST, Chase MI 49623",07/10/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,43.8405519,-85.62202270133422,success,address,photon
AU-G-B-000258,Class B Marihuana Grower - License,"Liberty Wellness, LLC","208 Hyde ST, Kalkaska MI 49646",06/28/2025,License Void,,,,AU,Grower,B,AU - Class B Grower.csv,,44.7283925,-85.1779184,success,address,nominatim
AU-G-B-000257,Class B Marihuana Grower - License,1709 Marquette LLC,"1709 Marquette AVE, Bay City MI 48706",06/26/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,43.6182099,-83.8673625,success,address,nominatim
AU-G-B-000254,Class B Marihuana Grower - License,Jelli D Enterprise LLC,"6806 Sheridan Rd, Vassar MI 48768",06/16/2024,License Void,,,,AU,Grower,B,AU - Class B Grower.csv,,43.3295788,-83.4815594,success,address,nominatim
AU-G-B-000255,Class B Marihuana Grower - License,"413SD, LLC","403 S Dix ST, Detroit MI 48217",06/01/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,42.2944398,-83.15302,success,address,nominatim
AU-G-B-000256,Class B Marihuana Grower - License,"Brothers Cole, Inc","52558 Burlington RD, Marcellus MI 49067",05/15/2024,License Void,,Public Documents Available,,AU,Grower,B,AU - Class B Grower.csv,,42.0283,-85.8393628,success,address,nominatim
AU-G-B-000253,Class B Marihuana Grower - License,"PelleGreenCo, LLC","7325 Enterprise PKWY, Mt. Morris MI 48458",04/24/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,43.1158009,-83.7608712,success,address,nominatim
AU-G-B-000249,Class B Marihuana Grower - License,The Detroit Bud Company,"23295 Blackstone AVE, Warren MI 48089",04/11/2025,License Void,,,,AU,Grower,B,AU - Class B Grower.csv,,42.4657915,-82.9961368,success,address,nominatim
AU-G-B-000248,Class B Marihuana Grower - License,Forest Brothers,"23300 Amber AVE, Warren MI 48089",04/04/2025,License Void,,,,AU,Grower,B,AU - Class B Grower.csv,,42.4659104,-82.997138,success,address,nominatim
AU-G-B-000250,Class B Marihuana Grower - License,"Bud Bundy Farms, LLC","7044 State RD, Millington MI 48746",04/04/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,43.3206884,-83.5537958,success,address,nominatim
AU-G-B-000251,Class B Marihuana Grower - License,Grow Logic Farms,"1610 O'Rourke BLVD, Gaylord MI 49735",03/30/2025,License Void,,,,AU,Grower,B,AU - Class B Grower.csv,,45.0092254,-84.6938767,success,address,nominatim
AU-G-B-000247,Class B Marihuana Grower - License,"My Town Greens, LLC","926 E 10 Mile RD, Hazel Park MI 48030",03/20/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,42.4759508,-83.096801,success,address,nominatim
AU-G-B-000243,Class B Marihuana Grower - License,M.O.A.B. Genetix LLC,"1305 Kitson AVE, Sturgis MI 49091",02/16/2025,License Void,,,,AU,Grower,B,AU - Class B Grower.csv,,41.8176465,-85.4221479,success,address,nominatim
AU-G-B-000245,Class B Marihuana Grower - License,Zayna Enterprises LLC,"1455 Industrial DR, Owosso MI 48867",02/08/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,42.9816006,-84.1542296,success,address,nominatim
AU-G-B-000240,Class B Marihuana Grower - License,"Meadow Nursery, Inc.","16942 Woodlane DR, Nunica MI 49448",02/07/2026,Active,,Public Documents Available,,AU,Grower,B,AU - Class B Grower.csv,,43.076615511941,-86.094889122106,success,address,arcgis
AU-G-B-000244,Class B Marihuana Grower - License,Terp Heads Cannabis,"4412 Ace Commercial CT, Bay City MI 48706",02/06/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,43.627432991577,-83.87811998086,success,address,arcgis
AU-G-B-000246,Class B Marihuana Grower - License,"McMaster Enterprises, LLC","1600 N Grand River Ave AVE, Lansing MI 48906",02/03/2026,Active,,,,AU,Grower,B,AU - Class B Grower.csv,,42.73795475,-84.55302338580589,success,address,photon
AU-G-B-000241,Class B Marihuana Grower - License,CannaSelect,"20349 Waldo RD, Chelsea MI 48118",01/24/2025,License Void,,Public Documents Available,,AU,Grower,B,AU - Class B Grower.csv,,42.24222010106,-84.028057727976,success,address,arcgis
